model,variant,validity,turn,mean_z,ci_low,ci_high,n_artefacts
gpt52_prid,bt_weighted,invalid,3,9.10892783,6.18054314,12.5503743,22
gpt55,unweighted,valid,0,0,0,0,22
gpt55,unweighted,valid,1,6.693592689,5.175896854,8.434633056,22
gpt55,unweighted,valid,2,10.75447741,8.242213518,13.66789116,22
gpt55,unweighted,valid,3,13.40393813,10.35331315,16.87000528,22
gpt55,unweighted,invalid,0,0,0,0,22
gpt55,unweighted,invalid,1,2.412459257,1.344225533,3.767776593,22
gpt55,unweighted,invalid,2,2.632770383,1.430326574,4.294604062,22
gpt55,unweighted,invalid,3,2.563803537,1.307527288,4.316871869,22
gpt55,bt_weighted,valid,0,0,0,0,22
gpt55,bt_weighted,valid,1,6.70929558,5.158727446,8.470769396,22
gpt55,bt_weighted,valid,2,10.74294748,8.264038403,13.61532913,22
gpt55,bt_weighted,valid,3,13.40393813,10.35331315,16.87000528,22
gpt55,bt_weighted,invalid,0,0,0,0,22
gpt55,bt_weighted,invalid,1,2.070118964,0.9772384949,3.632115589,22
gpt55,bt_weighted,invalid,2,2.389630536,1.19946856,3.992956956,22
gpt55,bt_weighted,invalid,3,2.563803537,1.307527288,4.316871869,22
gpt55_prid,unweighted,valid,0,0,0,0,22
gpt55_prid,unweighted,valid,1,7.434455864,5.357643412,9.700139647,22
gpt55_prid,unweighted,valid,2,11.72486617,8.587801131,15.10508265,22
gpt55_prid,unweighted,valid,3,14.58168733,10.75548896,18.70569055,22
gpt55_prid,unweighted,invalid,0,0,0,0,22
gpt55_prid,unweighted,invalid,1,2.875376678,1.269413358,4.837465007,22
gpt55_prid,unweighted,invalid,2,3.299466348,1.365459037,5.672371591,22
gpt55_prid,unweighted,invalid,3,3.273900845,1.317791101,5.825043226,22
gpt55_prid,bt_weighted,valid,0,0,0,0,22
gpt55_prid,bt_weighted,valid,1,7.427685378,5.366230476,9.658398371,22
gpt55_prid,bt_weighted,valid,2,11.7192744,8.60496248,15.05084913,22
gpt55_prid,bt_weighted,valid,3,14.58168733,10.75548896,18.70569055,22
gpt55_prid,bt_weighted,invalid,0,0,0,0,22
gpt55_prid,bt_weighted,invalid,1,2.634131328,0.825392332,5.140408852,22
gpt55_prid,bt_weighted,invalid,2,3.108461808,1.180651696,5.605345466,22
gpt55_prid,bt_weighted,invalid,3,3.273900845,1.317791101,5.825043226,22
gpt5_prid,unweighted,valid,0,0,0,0,22
gpt5_prid,unweighted,valid,1,7.825367259,5.304929167,10.54573692,22
gpt5_prid,unweighted,valid,2,13.28556228,9.239542359,18.04671676,22
gpt5_prid,unweighted,valid,3,17.41330708,12.35993286,23.49830551,22
gpt5_prid,unweighted,invalid,0,0,0,0,22
gpt5_prid,unweighted,invalid,1,9.110158579,6.09879225,12.64514826,22
gpt5_prid,unweighted,invalid,2,13.64714916,8.778387062,19.47711819,22
gpt5_prid,unweighted,invalid,3,16.24584781,9.807377358,24.52288619,22
gpt5_prid,bt_weighted,valid,0,0,0,0,22
gpt5_prid,bt_weighted,valid,1,7.918807769,5.234365094,10.79996915,22
gpt5_prid,bt_weighted,valid,2,13.24578859,9.141212299,17.923575,22
gpt5_prid,bt_weighted,valid,3,17.41330708,12.35993286,23.49830551,22
gpt5_prid,bt_weighted,invalid,0,0,0,0,22
gpt5_prid,bt_weighted,invalid,1,7.789924926,5.168005721,11.02187369,22
gpt5_prid,bt_weighted,invalid,2,12.8643042,8.226324434,18.40632783,22
gpt5_prid,bt_weighted,invalid,3,16.24584781,9.807377358,24.52288619,22
o3_prid,unweighted,valid,0,0,0,0,22
o3_prid,unweighted,valid,1,5.225947645,3.644021511,7.231672028,22
o3_prid,unweighted,valid,2,9.427990123,6.627214085,12.94875068,22
o3_prid,unweighted,valid,3,12.50236417,9.078059263,16.68461393,22
o3_prid,unweighted,invalid,0,0,0,0,22
o3_prid,unweighted,invalid,1,5.060624145,3.450643644,7.110969809,22
o3_prid,unweighted,invalid,2,7.594415878,5.536809523,10.29279551,22
o3_prid,unweighted,invalid,3,8.745802905,6.099219724,12.43718184,22
o3_prid,bt_weighted,valid,0,0,0,0,22
o3_prid,bt_weighted,valid,1,5.282304568,3.564642681,7.483414708,22
o3_prid,bt_weighted,valid,2,9.448179756,6.624119912,13.06248929,22
o3_prid,bt_weighted,valid,3,12.50236417,9.078059263,16.68461393,22
o3_prid,bt_weighted,invalid,0,0,0,0,22
o3_prid,bt_weighted,invalid,1,4.888806445,3.355910322,6.680150662,22
o3_prid,bt_weighted,invalid,2,7.468412442,5.431981208,10.00147823,22
o3_prid,bt_weighted,invalid,3,8.745802905,6.099219724,12.43718184,22
o4mini,unweighted,valid,0,0,0,0,22
o4mini,unweighted,valid,1,5.50623438,3.438635225,8.058096728,22
o4mini,unweighted,valid,2,9.818635707,6.251651445,14.02808509,22
o4mini,unweighted,valid,3,13.31119707,8.612488086,18.67700121,22
o4mini,unweighted,invalid,0,0,0,0,22
o4mini,unweighted,invalid,1,5.126852238,3.384524516,7.325300988,22
o4mini,unweighted,invalid,2,7.419650997,4.674941226,11.16510061,22
o4mini,unweighted,invalid,3,7.982255629,4.519190393,12.31348597,22
o4mini,bt_weighted,valid,0,0,0,0,22
o4mini,bt_weighted,valid,1,5.507746774,3.402988223,8.182086524,22
o4mini,bt_weighted,valid,2,9.807394187,6.261085831,14.083484,22
o4mini,bt_weighted,valid,3,13.31119707,8.612488086,18.67700121,22
o4mini,bt_weighted,invalid,0,0,0,0,22
o4mini,bt_weighted,invalid,1,4.606848614,3.058339447,6.480459146,22
o4mini,bt_weighted,invalid,2,7.136638342,4.395848438,10.56465413,22
o4mini,bt_weighted,invalid,3,7.982255629,4.519190393,12.31348597,22
