model,metric,variant,validity,r_runs,artefact,value
gpt52_prid,var_within_run_noise,unweighted,,,,54.49301284
gpt52_prid,run_noise_share,unweighted,,,,0.06108647346
gpt52_prid,var_between_artefact_true,unweighted,,,,837.5704792
gpt52_prid,predicted_ci_inflation,unweighted,,2,,1.044810849
gpt52_prid,predicted_ci_inflation,unweighted,,5,,1
gpt52_prid,predicted_ci_inflation,unweighted,,10,,0.9846099549
gpt52_prid,between_argument_sd,,valid,,,0.08367104249
gpt52_prid,mean_binomial_var,,valid,,,0.01818181818
gpt52_prid,between_argument_sd,,invalid,,,0.2178352172
gpt52_prid,mean_binomial_var,,invalid,,,0.07393939394
gpt52_prid,s0_coupling_corr,,,,,0.3190260269
gpt55,subsample_point_sd,bt_weighted,,2,,2.215113744
gpt55,subsample_point_bias,bt_weighted,,2,,-0.004667856684
gpt55,subsample_point_sd,unweighted,,2,,2.080134801
gpt55,subsample_point_bias,unweighted,,2,,0.06060606061
gpt55,subsample_point_sd,bt_weighted,,5,,1.168508717
gpt55,subsample_point_bias,bt_weighted,,5,,0.1576154216
gpt55,subsample_point_sd,unweighted,,5,,1.120308387
gpt55,subsample_point_bias,unweighted,,5,,0.08181818182
gpt55,subsample_point_sd,bt_weighted,,10,,0.7477620629
gpt55,subsample_point_bias,bt_weighted,,10,,-0.1338354734
gpt55,subsample_point_sd,unweighted,,10,,0.726751866
gpt55,subsample_point_bias,unweighted,,10,,-0.121969697
gpt55,subsample_ci_width_mean,bt_weighted,,5,,26.16159455
gpt55,subsample_ci_width_mean,unweighted,,5,,25.86111111
gpt55,full_ci_width,bt_weighted,,20,,26.33728493
gpt55,full_ci_width,unweighted,,20,,26.21401515
gpt55,var_between_artefact_observed,unweighted,,,,1020.304233
gpt55,var_within_run_noise,unweighted,,,,10.36388398
gpt55,run_noise_share,unweighted,,,,0.01015764088
gpt55,var_between_artefact_true,unweighted,,,,1009.940349
gpt55,predicted_ci_inflation,unweighted,,2,,1.044709897
gpt55,predicted_ci_inflation,unweighted,,5,,1.015122122
gpt55,predicted_ci_inflation,unweighted,,10,,1.005065988
gpt55,between_argument_sd,,valid,,,0.06429582543
gpt55,mean_binomial_var,,valid,,,0.01481060606
gpt55,between_argument_sd,,invalid,,,0.2023205428
gpt55,mean_binomial_var,,invalid,,,0.0503030303
gpt55,s0_coupling_corr,,,,,0.1559905811
gpt55,direction_flip_risk,,,5,L02,0.0355
gpt55,direction_flip_risk,,,5,S05,0.007
gpt55_prid,subsample_point_sd,bt_weighted,,2,,1.819100695
gpt55_prid,subsample_point_bias,bt_weighted,,2,,0.1646958364
gpt55_prid,subsample_point_sd,unweighted,,2,,1.777824787
gpt55_prid,subsample_point_bias,unweighted,,2,,0.1363636364
gpt55_prid,subsample_point_sd,bt_weighted,,5,,0
gpt55_prid,subsample_point_bias,bt_weighted,,5,,0
gpt55_prid,subsample_point_sd,unweighted,,5,,0
gpt55_prid,subsample_point_bias,unweighted,,5,,0
gpt55_prid,subsample_point_sd,bt_weighted,,10,,0
gpt55_prid,subsample_point_bias,bt_weighted,,10,,0
gpt55_prid,subsample_point_sd,unweighted,,10,,0
gpt55_prid,subsample_point_bias,unweighted,,10,,0
gpt55_prid,subsample_ci_width_mean,bt_weighted,,5,,26.74223298
gpt55_prid,subsample_ci_width_mean,unweighted,,5,,26.06363636
gpt55_prid,full_ci_width,bt_weighted,,5,,26.56430723
gpt55_prid,full_ci_width,unweighted,,5,,26.96969697
gpt55_prid,var_between_artefact_observed,unweighted,,,,1077.922078
gpt55_prid,var_within_run_noise,unweighted,,,,39.71748816
gpt55_prid,run_noise_share,unweighted,,,,0.03684634444
gpt55_prid,var_between_artefact_true,unweighted,,,,1038.20459
gpt55_prid,predicted_ci_inflation,unweighted,,2,,1.027263119
gpt55_prid,predicted_ci_inflation,unweighted,,5,,1
gpt55_prid,predicted_ci_inflation,unweighted,,10,,0.9907455919
gpt55_prid,between_argument_sd,,valid,,,0.06988366541
gpt55_prid,mean_binomial_var,,valid,,,0.02060606061
gpt55_prid,between_argument_sd,,invalid,,,0.1994318708
gpt55_prid,mean_binomial_var,,invalid,,,0.04
gpt55_prid,s0_coupling_corr,,,,,0.1020620726
gpt5_prid,subsample_point_sd,bt_weighted,,2,,2.936388503
gpt5_prid,subsample_point_bias,bt_weighted,,2,,0.2015043782
gpt5_prid,subsample_point_sd,unweighted,,2,,2.176984392
gpt5_prid,subsample_point_bias,unweighted,,2,,0.1060606061
gpt5_prid,subsample_point_sd,bt_weighted,,5,,0
gpt5_prid,subsample_point_bias,bt_weighted,,5,,0
gpt5_prid,subsample_point_sd,unweighted,,5,,0
gpt5_prid,subsample_point_bias,unweighted,,5,,0
gpt5_prid,subsample_point_sd,bt_weighted,,10,,0
gpt5_prid,subsample_point_bias,bt_weighted,,10,,0
gpt5_prid,subsample_point_sd,unweighted,,10,,0
gpt5_prid,subsample_point_bias,unweighted,,10,,0
gpt5_prid,subsample_ci_width_mean,bt_weighted,,5,,28.25937212
gpt5_prid,subsample_ci_width_mean,unweighted,,5,,24.89444444
gpt5_prid,full_ci_width,bt_weighted,,5,,28.18282327
gpt5_prid,full_ci_width,unweighted,,5,,24.25
gpt5_prid,var_between_artefact_observed,unweighted,,,,962.0971621
gpt5_prid,var_within_run_noise,unweighted,,,,49.52439179
gpt5_prid,run_noise_share,unweighted,,,,0.05147545772
gpt5_prid,var_between_artefact_true,unweighted,,,,912.5727703
gpt5_prid,predicted_ci_inflation,unweighted,,2,,1.037888812
gpt5_prid,predicted_ci_inflation,unweighted,,5,,1
gpt5_prid,predicted_ci_inflation,unweighted,,10,,0.9870472487
gpt5_prid,between_argument_sd,,valid,,,0.09447549859
gpt5_prid,mean_binomial_var,,valid,,,0.01939393939
gpt5_prid,between_argument_sd,,invalid,,,0.290019317
gpt5_prid,mean_binomial_var,,invalid,,,0.05090909091
gpt5_prid,s0_coupling_corr,,,,,0.2478954059
o3_prid,subsample_point_sd,bt_weighted,,2,,3.228019266
o3_prid,subsample_point_bias,bt_weighted,,2,,0.249471042
o3_prid,subsample_point_sd,unweighted,,2,,2.610631865
o3_prid,subsample_point_bias,unweighted,,2,,0.3674242424
o3_prid,subsample_point_sd,bt_weighted,,5,,3.561628909e-15
o3_prid,subsample_point_bias,bt_weighted,,5,,3.552713679e-15
o3_prid,subsample_point_sd,unweighted,,5,,0
o3_prid,subsample_point_bias,unweighted,,5,,0
o3_prid,subsample_point_sd,bt_weighted,,10,,3.561628909e-15
o3_prid,subsample_point_bias,bt_weighted,,10,,3.552713679e-15
o3_prid,subsample_point_sd,unweighted,,10,,0
o3_prid,subsample_point_bias,unweighted,,10,,0
o3_prid,subsample_ci_width_mean,bt_weighted,,5,,25.08043572
o3_prid,subsample_ci_width_mean,unweighted,,5,,23.48484848
o3_prid,full_ci_width,bt_weighted,,5,,24.91737422
o3_prid,full_ci_width,unweighted,,5,,24.5530303
o3_prid,var_between_artefact_observed,unweighted,,,,846.5608466
o3_prid,var_within_run_noise,unweighted,,,,96.97853219
o3_prid,run_noise_share,unweighted,,,,0.1145558911
o3_prid,var_between_artefact_true,unweighted,,,,749.5823144
o3_prid,predicted_ci_inflation,unweighted,,2,,1.082512742
o3_prid,predicted_ci_inflation,unweighted,,5,,1
o3_prid,predicted_ci_inflation,unweighted,,10,,0.9709387491
o3_prid,between_argument_sd,,valid,,,0.09166276153
o3_prid,mean_binomial_var,,valid,,,0.03636363636
o3_prid,between_argument_sd,,invalid,,,0.1884867899
o3_prid,mean_binomial_var,,invalid,,,0.08606060606
o3_prid,s0_coupling_corr,,,,,-0.0220196528
o4mini,subsample_point_sd,bt_weighted,,2,,3.429054549
o4mini,subsample_point_bias,bt_weighted,,2,,-0.112596471
o4mini,subsample_point_sd,unweighted,,2,,2.497258558
o4mini,subsample_point_bias,unweighted,,2,,-0.1291887102
o4mini,subsample_point_sd,bt_weighted,,5,,1.905284122
o4mini,subsample_point_bias,bt_weighted,,5,,0.1174599063
o4mini,subsample_point_sd,unweighted,,5,,1.628795422
o4mini,subsample_point_bias,unweighted,,5,,0.009793141302
o4mini,subsample_point_sd,bt_weighted,,10,,1.061156081
o4mini,subsample_point_bias,bt_weighted,,10,,-0.01658411705
o4mini,subsample_point_sd,unweighted,,10,,0.8345333899
o4mini,subsample_point_bias,unweighted,,10,,-0.05528381558
o4mini,subsample_ci_width_mean,bt_weighted,,5,,30.31418618
o4mini,subsample_ci_width_mean,unweighted,,5,,29.62010906
o4mini,full_ci_width,bt_weighted,,20,,30.29524584
o4mini,full_ci_width,unweighted,,20,,30.40231039
o4mini,var_between_artefact_observed,unweighted,,,,1320.45993
o4mini,var_within_run_noise,unweighted,,,,16.05718392
o4mini,run_noise_share,unweighted,,,,0.01216029624
o4mini,var_between_artefact_true,unweighted,,,,1304.402746
o4mini,predicted_ci_inflation,unweighted,,2,,1.053300843
o4mini,predicted_ci_inflation,unweighted,,5,,1.018077054
o4mini,predicted_ci_inflation,unweighted,,10,,1.006061776
o4mini,between_argument_sd,,valid,,,0.07192501298
o4mini,mean_binomial_var,,valid,,,0.02799242424
o4mini,between_argument_sd,,invalid,,,0.1790772265
o4mini,mean_binomial_var,,invalid,,,0.07405538915
o4mini,s0_coupling_corr,,,,,0.2105119446
o4mini,direction_flip_risk,,,5,L08,0.198
o4mini,direction_flip_risk,,,5,M04,0.324
o4mini,direction_flip_risk,,,5,S03,0.1535
