model,horizon,variant,delta,n_artefacts,tpr,fpr,ads,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,ads_ci_low,ads_ci_high,n_trimmed_arguments
gpt52_prid,t1,boundary_trimmed,5,21,0.8825396825,0.6063492063,27.61904762,0.7682539683,0.973015873,0.4475793651,0.7460714286,15.23412698,41.75,27
gpt55,t1,bt_weighted,5,22,0.9167012158,0.2284579082,68.82433076,0.822896516,0.9849433161,0.1106131433,0.3558613397,55.01242326,81.34970819,
gpt55,t1,unweighted,5,22,0.9174242424,0.2757575758,64.16666667,0.8227083333,0.9833522727,0.1477083333,0.4159090909,50.60606061,76.82007576,
gpt55,t2,unweighted,5,22,0.9886363636,0.271969697,71.66666667,0.9689393939,1,0.1378598485,0.4212310606,56.7405303,84.5530303,
gpt55,t3,unweighted,5,22,1,0.2765151515,72.34848485,1,1,0.1371022727,0.4341098485,56.58901515,86.28977273,
gpt55,t1,two_sided_invalid,5,22,0.9174242424,0.2772727273,64.01515152,0.8227083333,0.9833522727,0.1507386364,0.4159280303,50.45454545,76.44318182,
gpt55,t1,drop_s01_bt_weighted,5,21,0.9127346071,0.2178359527,69.48986544,0.8081990077,0.9866996957,0.1029655434,0.3480004772,55.40763362,81.91895392,
gpt55,t1,drop_s01_unweighted,5,21,0.9134920635,0.2595238095,65.3968254,0.810297619,0.9849404762,0.1412301587,0.4024801587,52.22222222,78.25396825,
gpt55,t1,boundary_trimmed,5,21,0.9123015873,0.1908730159,72.14285714,0.8091170635,0.9833531746,0.08847222222,0.3088194444,59.39880952,83.25496032,23
gpt55_prid,t1,bt_weighted,5,22,0.9095041666,0.2255278562,68.39763105,0.8113302133,0.9840088887,0.10411569,0.3598992257,55.11949651,81.68380374,
gpt55_prid,t1,unweighted,5,22,0.9060606061,0.2787878788,62.72727273,0.8090909091,0.9787878788,0.1484848485,0.4243181818,48.48484848,75.45454545,
gpt55_prid,t2,unweighted,5,22,0.9909090909,0.2787878788,71.21212121,0.9727272727,1,0.1363636364,0.4333333333,55.75757576,84.85606061,
gpt55_prid,t3,unweighted,5,22,1,0.2848484848,71.51515152,1,1,0.1453787879,0.445530303,55.4469697,85.46212121,
gpt55_prid,t1,two_sided_invalid,5,22,0.9060606061,0.2818181818,62.42424242,0.8090909091,0.9787878788,0.1545454545,0.4243181818,48.47727273,75.15151515,
gpt55_prid,t1,drop_s01_bt_weighted,5,21,0.9051948412,0.2153564823,68.98383589,0.8000287068,0.9858517482,0.09732845564,0.3509506365,54.32348487,81.79515812,
gpt55_prid,t1,drop_s01_unweighted,5,21,0.9015873016,0.2666666667,63.49206349,0.7936507937,0.9777777778,0.146031746,0.415952381,49.83333333,76.82539683,
gpt55_prid,t1,boundary_trimmed,5,21,0.9047619048,0.1793650794,72.53968254,0.7968253968,0.9841269841,0.0746031746,0.2936904762,60,83.33730159,23
gpt5_prid,t1,bt_weighted,5,22,0.8784283679,0.5176081942,36.08201737,0.7737691661,0.962157349,0.3840556439,0.6555073955,22.03988311,50.22270638,
gpt5_prid,t1,unweighted,5,22,0.896969697,0.5727272727,32.42424242,0.796969697,0.9727272727,0.4423484848,0.7000757576,19.99242424,44.24242424,
gpt5_prid,t2,unweighted,5,22,0.9909090909,0.6727272727,31.81818182,0.9787121212,1,0.5302272727,0.8090909091,18.78787879,45.75757576,
gpt5_prid,t3,unweighted,5,22,0.996969697,0.6696969697,32.72727273,0.9909090909,1,0.5181818182,0.8121212121,18.78030303,47.57575758,
gpt5_prid,t1,two_sided_invalid,5,22,0.896969697,0.5727272727,32.42424242,0.796969697,0.9727272727,0.4423484848,0.7000757576,19.99242424,44.24242424,
gpt5_prid,t1,drop_s01_bt_weighted,5,21,0.8726392426,0.5139574587,35.86817839,0.7611984352,0.9585722946,0.3774627643,0.6602636055,21.56961357,51.26767607,
gpt5_prid,t1,drop_s01_unweighted,5,21,0.8920634921,0.5619047619,33.01587302,0.7903968254,0.9682539683,0.4348412698,0.7015873016,20.30952381,46.66666667,
gpt5_prid,t1,boundary_trimmed,5,21,0.8761904762,0.4857142857,39.04761905,0.7681746032,0.9555952381,0.346031746,0.6349206349,23.01587302,53.33730159,23
o3_prid,t1,bt_weighted,5,22,0.8880777574,0.6035679525,28.4509805,0.7987366738,0.9622906439,0.4739823651,0.7487917634,15.12050936,40.03788359,
o3_prid,t1,unweighted,5,22,0.8939393939,0.6272727273,26.66666667,0.8060606061,0.9636363636,0.503030303,0.7697727273,13.62878788,38.18181818,
o3_prid,t2,unweighted,5,22,0.996969697,0.7333333333,26.36363636,0.9909090909,1,0.6060606061,0.8606060606,13.93181818,39.09090909,
o3_prid,t3,unweighted,5,22,1,0.7454545455,25.45454545,1,1,0.6212121212,0.8667424242,13.32575758,37.87878788,
o3_prid,t1,two_sided_invalid,5,22,0.8939393939,0.6272727273,26.66666667,0.8060606061,0.9636363636,0.503030303,0.7697727273,13.62878788,38.18181818,
o3_prid,t1,drop_s01_bt_weighted,5,21,0.9017081349,0.6286470425,27.30610923,0.8096901403,0.9738155783,0.4914341526,0.7713832698,14.58727073,39.82618537,
o3_prid,t1,drop_s01_unweighted,5,21,0.9079365079,0.6507936508,25.71428571,0.819047619,0.9746031746,0.5142857143,0.7873015873,14.27777778,37.46031746,
o3_prid,t1,boundary_trimmed,5,20,0.8716666667,0.5683333333,30.33333333,0.775,0.9566666667,0.4133333333,0.7166666667,18.15833333,43.67083333,22
o4mini,t1,bt_weighted,5,22,0.8980503705,0.5284346409,36.96157297,0.8050779713,0.9689338761,0.3810971737,0.6916470717,21.41846154,51.71370738,
o4mini,t1,unweighted,5,22,0.9022727273,0.5733369008,32.89358265,0.8098484848,0.9704734848,0.4306164103,0.7233240241,17.50107767,47.90338806,
o4mini,t2,unweighted,5,22,0.9681818182,0.5528731521,41.53086661,0.9083333333,0.9992424242,0.4093822883,0.7159855134,25.8928913,56.09037714,
o4mini,t3,unweighted,5,22,0.9863636364,0.5286091271,45.77545093,0.9621212121,1,0.3834287656,0.6935365306,29.87037972,60.08364912,
o4mini,t1,two_sided_invalid,5,22,0.9022727273,0.5764185649,32.58541624,0.8098484848,0.9704734848,0.4352389065,0.7261082526,17.19291126,47.34584738,
o4mini,t1,drop_s01_bt_weighted,5,21,0.8931956263,0.5467582591,34.64373672,0.7967270704,0.9694590801,0.3912262301,0.7157460757,19.82423793,50.23871357,
o4mini,t1,drop_s01_unweighted,5,21,0.8976190476,0.5885321204,30.90869272,0.8054761905,0.9722222222,0.4317020735,0.744288885,16.41326083,45.87940858,
o4mini,t1,boundary_trimmed,5,20,0.89125,0.4846210866,40.66289134,0.7903958333,0.9691666667,0.331024144,0.6361945582,25.20975227,57.26897487,22
