model,artefact,tier,direction,validity,idx,bt_rating,x,shift_points,z_mean,update_rate,n_runs
gpt41_prid,M06,M,lower,invalid,0,-0.04935847467,-0.04959035117,16.2,6.506076564,1,5
gpt41_prid,M06,M,lower,invalid,1,-0.3156602732,-0.3199092144,42.2,16.94792784,1,5
gpt41_prid,M06,M,lower,invalid,2,0.1627385557,-0,48.4,19.43790776,1,5
gpt41_prid,M06,M,lower,valid,0,1.278531345,1.298330198,17.2,6.907686229,1,5
gpt41_prid,M06,M,lower,valid,1,0.9876727105,1.003084068,13.4,5.381569504,1,5
gpt41_prid,M06,M,lower,valid,2,0.8186373316,0.8314988525,20.2,8.112515222,1,5
gpt41_prid,M07,M,lower,invalid,0,-0.1336688566,-0.1351725242,13.4,13.4,1,5
gpt41_prid,M07,M,lower,invalid,1,-1.386530143,-1.406932762,63.2,63.2,1,5
gpt41_prid,M07,M,lower,invalid,2,-1.363278696,-1.383330576,13.2,13.2,1,5
gpt41_prid,M07,M,lower,valid,0,1.007936413,1.02365344,9.4,9.4,1,5
gpt41_prid,M07,M,lower,valid,1,1.390851163,1.412344319,9.8,9.8,1,5
gpt41_prid,M07,M,lower,valid,2,0.9763383667,0.9915787497,7.2,7.2,1,5
gpt41_prid,M08,M,lower,invalid,0,-0.7521576925,-0.7629910367,9.4,5.720657823,1,5
gpt41_prid,M08,M,lower,invalid,1,-0.7243464813,-0.7347603036,10,6.085806195,1,5
gpt41_prid,M08,M,lower,invalid,2,-0.5471337696,-0.5548744033,14.8,9.006993168,1,5
gpt41_prid,M08,M,lower,valid,0,0.5082803181,0.5164602177,10.8,6.57267069,1,5
gpt41_prid,M08,M,lower,valid,1,0.8401669837,0.8533532715,10.8,6.57267069,1,5
gpt41_prid,M08,M,lower,valid,2,0.4818753112,0.4896569009,28.6,17.40540572,1,5
gpt41_prid,S01,S,lower,invalid,0,-0.2931609832,-0.2970705308,60.8,28.04494872,1,5
gpt41_prid,S01,S,lower,invalid,1,-0.3947609088,-0.400203054,17.2,7.933768389,1,5
gpt41_prid,S01,S,lower,invalid,2,-0.9273964966,-0.9408732536,26.8,12.36191819,1,5
gpt41_prid,S01,S,lower,valid,0,0.856782679,0.8702196084,17.8,8.210527751,1,5
gpt41_prid,S01,S,lower,valid,1,-0.1051802428,0,9.4,4.335896678,1,5
gpt41_prid,S01,S,lower,valid,2,-0.3513450041,0,27.8,12.82318379,1,5
gpt41_prid,S02,S,lower,invalid,0,-1.555736867,-1.578691908,10.6,9.676431849,1,5
gpt41_prid,S02,S,lower,invalid,1,-1.636377631,-1.660549107,28.4,25.92553439,1,5
gpt41_prid,S02,S,lower,invalid,2,-1.836953703,-1.864150796,50,45.64354646,1,5
gpt41_prid,S02,S,lower,valid,0,0.8768752785,0.8906152974,12.4,11.31959952,1,5
gpt41_prid,S02,S,lower,valid,1,0.6923262685,0.7032824334,7.4,6.755244876,1,5
gpt41_prid,S02,S,lower,valid,2,0.6761479249,0.6868600456,9,8.215838363,1,5
gpt41_prid,S03,S,lower,invalid,0,-1.305538438,-1.324719327,23.6,15.56137917,1,5
gpt41_prid,S03,S,lower,invalid,1,-0.09530011113,-0.09622500032,22.6,14.9019987,1,5
gpt41_prid,S03,S,lower,invalid,2,-0.4667565118,-0.4732846841,34.2,22.55081219,1,5
gpt41_prid,S03,S,lower,valid,0,0.9795666549,0.9948557354,32.2,21.23205124,1,5
gpt41_prid,S03,S,lower,valid,1,0.9577080525,0.972667404,25.4,16.74826402,1,5
gpt41_prid,S03,S,lower,valid,2,1.44991743,1.472301579,23.2,15.29762698,1,5
gpt41_prid,S04,S,lower,invalid,0,-1.498308613,-1.52039737,22.4,20.44830881,1,5
gpt41_prid,S04,S,lower,invalid,1,-1.559375963,-1.582385898,50.8,46.3738432,1,5
gpt41_prid,S04,S,lower,invalid,2,-1.434758273,-1.455888396,14.6,13.32791557,1,5
gpt41_prid,S04,S,lower,valid,0,0.3994766913,0.4060153282,4.2,3.834057903,0.4,5
gpt41_prid,S04,S,lower,valid,1,-0.07804074551,0,4.4,4.016632088,0.4,5
gpt41_prid,S04,S,lower,valid,2,0.9652701298,0.9803435525,4.2,3.834057903,0.2,5
gpt41_prid,S05,S,lower,invalid,0,-1.042533358,-1.057746912,40.2,9.528313809,1,5
gpt41_prid,S05,S,lower,invalid,1,-0.2367526268,-0.2398112751,29.6,7.015872854,1,5
gpt41_prid,S05,S,lower,invalid,2,-0.8057868578,-0.8174291781,25.2,5.972972836,1,5
gpt41_prid,S05,S,lower,valid,0,1.324732488,1.345228269,11.8,2.796868233,1,5
gpt41_prid,S05,S,lower,valid,1,1.308637887,1.328890886,9.8,2.322822769,1,5
gpt41_prid,S05,S,lower,valid,2,1.259169454,1.27867624,10.4,2.465036408,1,5
gpt41_prid,S06,S,lower,invalid,0,-1.547078236,-1.569902664,18.6,8.969716492,1,5
gpt41_prid,S06,S,lower,invalid,1,-0.2992819367,-0.3032838167,9,4.3401854,1,5
gpt41_prid,S06,S,lower,invalid,2,-0.2548778064,-0.2582098664,26.4,12.73121051,1,5
gpt41_prid,S06,S,lower,valid,0,0.7497721244,0.761594839,7.8,3.761494013,1,5
gpt41_prid,S06,S,lower,valid,1,0.9887821888,1.004210282,9.4,4.533082528,1,5
gpt41_prid,S06,S,lower,valid,2,0.9402594609,0.9549556069,6,2.893456933,1,5
gpt41_prid,S07,S,lower,invalid,0,-1.512713325,-1.535019371,24.6,4.751904567,1,5
gpt41_prid,S07,S,lower,invalid,1,-0.5115080046,-0.5187112368,19.8,3.824703676,1,5
gpt41_prid,S07,S,lower,invalid,2,-0.6527049207,-0.6620380564,28,5.408671865,1,5
gpt41_prid,S07,S,lower,valid,0,0.9780961433,0.9933630417,19.8,3.824703676,1,5
gpt41_prid,S07,S,lower,valid,1,1.040275413,1.056480263,13.4,2.588435821,1,5
gpt41_prid,S07,S,lower,valid,2,1.213580412,1.232399504,14,2.704335933,1,5
gpt41_prid,S08,S,lower,invalid,0,-2.287765605,-2.321763029,54.6,54.6,1,5
gpt41_prid,S08,S,lower,invalid,1,-1.869406666,-1.8970933,7.6,7.6,1,5
gpt41_prid,S08,S,lower,invalid,2,-1.381886096,-1.402218661,26.2,26.2,1,5
gpt41_prid,S08,S,lower,valid,0,0.4844827452,0.4923036671,4.8,4.8,0.6,5
gpt41_prid,S08,S,lower,valid,1,0.3108930531,0.3160954384,12.2,12.2,1,5
gpt41_prid,S08,S,lower,valid,2,0.276933219,0.2816233326,8.8,8.8,1,5
gpt52_prid,L01,L,lower,invalid,0,-0.4526228008,-0.4091164097,10.8,9.859006035,1,5
gpt52_prid,L01,L,lower,invalid,1,-0.5161613549,-0.4756796968,2.6,2.373464416,0.2,5
gpt52_prid,L01,L,lower,invalid,2,0.02198581798,-0,10.4,9.493857663,0.8,5
gpt52_prid,L01,L,lower,valid,0,0.9109174147,1.019334711,6.4,5.842373947,1,5
gpt52_prid,L01,L,lower,valid,1,0.638557147,0.7340088182,6.8,6.207522318,1,5
gpt52_prid,L01,L,lower,valid,2,0.5649508707,0.6568985381,5.2,4.746928832,0.8,5
gpt52_prid,L02,L,lower,invalid,0,0.2579388753,-0,26.8,17.67139669,1,5
gpt52_prid,L02,L,lower,invalid,1,-1.223648157,-1.216846187,15.4,10.15445929,1,5
gpt52_prid,L02,L,lower,invalid,2,-0.8490118135,-0.8243753975,17.4,11.47322024,1,5
gpt52_prid,L02,L,lower,valid,0,1.061836309,1.177438053,11.6,7.648813491,1,5
gpt52_prid,L02,L,lower,valid,1,1.045662766,1.160494573,15.8,10.41821148,1,5
gpt52_prid,L02,L,lower,valid,2,0.5994479049,0.6930377928,19.2,12.66010509,1,5
gpt52_prid,L03,L,lower,invalid,0,-1.773831523,-1.79322086,2.6,2.373464416,0,5
gpt52_prid,L03,L,lower,invalid,1,-0.7871840078,-0.7596042984,2.8,2.556038602,0.2,5
gpt52_prid,L03,L,lower,invalid,2,-1.980641407,-2.009875864,0,0,0,5
gpt52_prid,L03,L,lower,valid,0,1.164987368,1.285499585,25.6,23.36949579,1,5
gpt52_prid,L03,L,lower,valid,1,0.6480076708,0.7439092312,11.6,10.58930278,1,5
gpt52_prid,L03,L,lower,valid,2,0.8032085531,0.906498403,15,13.69306394,1,5
gpt52_prid,L04,L,lower,invalid,0,-0.2072257601,-0.1520373197,3.4,0.5068420749,0.4,5
gpt52_prid,L04,L,lower,invalid,1,-0.1695742104,-0.1125933798,11,1.639783183,1,5
gpt52_prid,L04,L,lower,invalid,2,0.1793149208,-0,18,2.683281573,0.8,5
gpt52_prid,L04,L,lower,valid,0,1.204945496,1.327359907,13.2,1.96773982,1,5
gpt52_prid,L04,L,lower,valid,1,0.9558098629,1.06636425,13.8,2.057182539,1,5
gpt52_prid,L04,L,lower,valid,2,0.8595837174,0.9655572894,14.4,2.146625258,1,5
gpt52_prid,L07,L,lower,invalid,0,-1.535117426,-1.543142853,2.8,2.556038602,0,5
gpt52_prid,L07,L,lower,invalid,1,-0.05492443843,-0,4.4,4.016632088,0.4,5
gpt52_prid,L07,L,lower,invalid,2,-1.314157201,-1.311663886,2.2,2.008316044,0,5
gpt52_prid,L07,L,lower,valid,0,0.1171958415,0.1878282708,3.8,3.468909531,0,5
gpt52_prid,L07,L,lower,valid,1,0.6198225246,0.7143823399,4.4,4.016632088,0.4,5
gpt52_prid,L07,L,lower,valid,2,0.6013807252,0.6950626245,5.2,4.746928832,1,5
gpt52_prid,L08,L,raise,invalid,0,-0.04316769561,-0,6.2,2.377591465,0.6,5
gpt52_prid,L08,L,raise,invalid,1,-0.1124540915,-0.05275407548,9.4,3.604735448,1,5
gpt52_prid,L08,L,raise,invalid,2,-0.9042421916,-0.8822350004,9.4,3.604735448,1,5
gpt52_prid,L08,L,raise,valid,0,0.2596045363,0.337016287,14.8,5.675540917,1,5
gpt52_prid,L08,L,raise,valid,1,0.65500929,0.7512441602,13.8,5.292058423,1,5
gpt52_prid,L08,L,raise,valid,2,0.6784983579,0.7758514179,16.2,6.21241641,1,5
gpt52_prid,M01,M,lower,invalid,0,-0.5335023363,-0.4938461902,6.6,6.024948133,1,5
gpt52_prid,M01,M,lower,invalid,1,-1.152397933,-1.142204118,4,3.651483717,0.4,5
gpt52_prid,M01,M,lower,invalid,2,-0.5159081947,-0.4754144851,7.2,6.57267069,0.8,5
gpt52_prid,M01,M,lower,valid,0,0.5344694223,0.6249660299,5.4,4.929503018,0.8,5
gpt52_prid,M01,M,lower,valid,1,0.642776388,0.7384289148,5,4.564354646,0.8,5
gpt52_prid,M01,M,lower,valid,2,0.9146736258,1.023269736,5.8,5.294651389,1,5
gpt52_prid,M02,M,raise,invalid,0,-0.9722074921,-0.9534357677,2.8,1.4,0.2,5
gpt52_prid,M02,M,raise,invalid,1,-1.985919931,-2.01540567,0,0,0,5
gpt52_prid,M02,M,raise,invalid,2,-1.685254323,-1.70042697,5,2.5,0.6,5
gpt52_prid,M02,M,raise,valid,0,-0.1493117595,0,9.2,4.6,1,5
gpt52_prid,M02,M,raise,valid,1,0.003221028355,0.06842772231,12.4,6.2,1,5
gpt52_prid,M02,M,raise,valid,2,0.8341411025,0.9389034867,6.4,3.2,1,5
gpt52_prid,M03,M,lower,invalid,0,-0.5388037605,-0.4993999871,8.6,5.670672071,0.8,5
gpt52_prid,M03,M,lower,invalid,1,-0.5125949551,-0.4719435197,14,9.231326628,1,5
gpt52_prid,M03,M,lower,invalid,2,-0.9350426931,-0.9145017501,1.4,0.9231326628,0,5
gpt52_prid,M03,M,lower,valid,0,1.142523083,1.261965895,13.2,8.703822249,1,5
gpt52_prid,M03,M,lower,valid,1,0.2227586748,0.2984163897,8.4,5.538795977,1,5
gpt52_prid,M03,M,lower,valid,2,0.5784484465,0.6710386618,7.2,4.747539408,1,5
gpt52_prid,M04,M,raise,invalid,0,-1.291567034,-1.287998321,0,0,0,5
gpt52_prid,M04,M,raise,invalid,1,-2.325999896,-2.371675035,0,0,0,5
gpt52_prid,M04,M,raise,invalid,2,-1.023091524,-1.006742118,2.6,0.8814825547,0.4,5
gpt52_prid,M04,M,raise,valid,0,-0.1515163802,0,13,4.407412774,1,5
gpt52_prid,M04,M,raise,valid,1,0.3866767764,0.4701377613,15.4,5.221088978,1,5
gpt52_prid,M04,M,raise,valid,2,0.7716382029,0.8734251561,7.4,2.508834963,1,5
gpt52_prid,M05,M,lower,invalid,0,-1.819289749,-1.840843111,5.6,5.6,0.8,5
gpt52_prid,M05,M,lower,invalid,1,0.03707874372,-0,15.2,15.2,1,5
gpt52_prid,M05,M,lower,invalid,2,-0.1715495042,-0.1146627068,14.2,14.2,1,5
gpt52_prid,M05,M,lower,valid,0,0.5392192855,0.6299420088,7.8,7.8,1,5
gpt52_prid,M05,M,lower,valid,1,0.1072985861,0.1774598596,7.6,7.6,1,5
gpt52_prid,M05,M,lower,valid,2,0.4985795323,0.5873676129,5.2,5.2,0.8,5
gpt52_prid,M06,M,lower,invalid,0,-0.04935847467,-0,10.2,3.103761159,1,5
gpt52_prid,M06,M,lower,invalid,1,-0.3156602732,-0.2656338239,42,12.78019301,1,5
gpt52_prid,M06,M,lower,invalid,2,0.1627385557,-0,17.4,5.294651389,1,5
gpt52_prid,M06,M,lower,valid,0,1.278531345,1.404448788,13.6,4.138348212,1,5
gpt52_prid,M06,M,lower,valid,1,0.9876727105,1.099743919,13,3.955774026,1,5
gpt52_prid,M06,M,lower,valid,2,0.8186373316,0.9226616636,15,4.564354646,1,5
gpt52_prid,M07,M,lower,invalid,0,-0.1336688566,-0.07497876279,10,10,1,5
gpt52_prid,M07,M,lower,invalid,1,-1.386530143,-1.387482119,26.8,26.8,0.4,5
gpt52_prid,M07,M,lower,invalid,2,-1.363278696,-1.363123794,11.2,11.2,1,5
gpt52_prid,M07,M,lower,valid,0,1.007936413,1.120972268,6.8,6.8,1,5
gpt52_prid,M07,M,lower,valid,1,1.390851163,1.522115555,9.6,9.6,1,5
gpt52_prid,M07,M,lower,valid,2,0.9763383667,1.087870007,6.6,6.6,1,5
gpt52_prid,M08,M,lower,invalid,0,-0.7521576925,-0.7229105663,5,5,0.2,5
gpt52_prid,M08,M,lower,invalid,1,-0.7243464813,-0.6937754111,8,8,1,5
gpt52_prid,M08,M,lower,invalid,2,-0.5471337696,-0.5081265437,4.2,4.2,0.2,5
gpt52_prid,M08,M,lower,valid,0,0.5082803181,0.5975302016,9.8,9.8,1,5
gpt52_prid,M08,M,lower,valid,1,0.8401669837,0.9452162281,8.2,8.2,1,5
gpt52_prid,M08,M,lower,valid,2,0.4818753112,0.5698681926,23.4,23.4,1,5
gpt52_prid,S01,S,lower,invalid,0,-0.2931609832,-0.2420634622,45,20.75695218,1,5
gpt52_prid,S01,S,lower,invalid,1,-0.3947609088,-0.3485000205,9,4.151390436,1,5
gpt52_prid,S01,S,lower,invalid,2,-0.9273964966,-0.9064915588,8.2,3.782377953,0.8,5
gpt52_prid,S01,S,lower,valid,0,0.856782679,0.9626229083,17.8,8.210527751,1,5
gpt52_prid,S01,S,lower,valid,1,-0.1051802428,0,10,4.61265604,1,5
gpt52_prid,S01,S,lower,valid,2,-0.3513450041,0,32.8,15.12951181,1,5
gpt52_prid,S02,S,lower,invalid,0,-1.555736867,-1.564743876,5.6,5.6,0.8,5
gpt52_prid,S02,S,lower,invalid,1,-1.636377631,-1.649223518,27.6,27.6,1,5
gpt52_prid,S02,S,lower,invalid,2,-1.836953703,-1.859347952,13,13,1,5
gpt52_prid,S02,S,lower,valid,0,0.8768752785,0.9836720098,8.4,8.4,1,5
gpt52_prid,S02,S,lower,valid,1,0.6923262685,0.7903376018,7.4,7.4,1,5
gpt52_prid,S02,S,lower,valid,2,0.6761479249,0.7733890933,7.2,7.2,1,5
gpt52_prid,S03,S,raise,invalid,0,-1.345321743,-1.344312005,17,2.031888636,1,5
gpt52_prid,S03,S,raise,invalid,1,-0.00768595632,-0,15,1.792842914,1,5
gpt52_prid,S03,S,raise,invalid,2,-0.7972483783,-0.7701477801,3,0.3585685828,0.6,5
gpt52_prid,S03,S,raise,valid,0,0.1026738634,0.1726149784,11.8,1.410369759,1,5
gpt52_prid,S03,S,raise,valid,1,0.506111619,0.5952582622,10,1.195228609,1,5
gpt52_prid,S03,S,raise,valid,2,0.5676872517,0.6597651837,8.8,1.051801176,1,5
gpt52_prid,S04,S,lower,invalid,0,-1.498308613,-1.504581768,3.8,3.8,0.4,5
gpt52_prid,S04,S,lower,invalid,1,-1.559375963,-1.56855621,18.2,18.2,0.2,5
gpt52_prid,S04,S,lower,invalid,2,-1.434758273,-1.438006134,1.8,1.8,0,5
gpt52_prid,S04,S,lower,valid,0,0.3994766913,0.4835470122,2.2,2.2,0,5
gpt52_prid,S04,S,lower,valid,1,-0.07804074551,0,3.4,3.4,0,5
gpt52_prid,S04,S,lower,valid,2,0.9652701298,1.07627487,2.8,2.8,0,5
gpt52_prid,S05,S,lower,invalid,0,-1.042533358,-1.027109475,26,4.746928832,1,5
gpt52_prid,S05,S,lower,invalid,1,-0.2367526268,-0.1829698036,11,2.008316044,1,5
gpt52_prid,S05,S,lower,invalid,2,-0.8057868578,-0.7790927312,17,3.103761159,1,5
gpt52_prid,S05,S,lower,valid,0,1.324732488,1.452849322,10.6,1.93528637,1,5
gpt52_prid,S05,S,lower,valid,1,1.308637887,1.435988542,10,1.825741858,1,5
gpt52_prid,S05,S,lower,valid,2,1.259169454,1.38416518,8.2,1.497108324,1,5
gpt52_prid,S06,S,lower,invalid,0,-1.547078236,-1.555673054,5.8,5.8,0.4,5
gpt52_prid,S06,S,lower,invalid,1,-0.2992819367,-0.2484758018,10.8,10.8,1,5
gpt52_prid,S06,S,lower,invalid,2,-0.2548778064,-0.2019578267,23.6,23.6,0.8,5
gpt52_prid,S06,S,lower,valid,0,0.7497721244,0.8505181498,6,6,1,5
gpt52_prid,S06,S,lower,valid,1,0.9887821888,1.100906214,9.2,9.2,1,5
gpt52_prid,S06,S,lower,valid,2,0.9402594609,1.050073576,4.2,4.2,0.2,5
gpt52_prid,S07,S,lower,invalid,0,-1.512713325,-1.519672212,14.2,8.486123126,1,5
gpt52_prid,S07,S,lower,invalid,1,-0.5115080046,-0.4708048253,23,13.74512901,1,5
gpt52_prid,S07,S,lower,invalid,2,-0.6527049207,-0.6187233764,22.6,13.50608329,1,5
gpt52_prid,S07,S,lower,valid,0,0.9780961433,1.089711462,17,10.15944318,1,5
gpt52_prid,S07,S,lower,valid,1,1.040275413,1.154850757,14.6,8.725168848,1,5
gpt52_prid,S07,S,lower,valid,2,1.213580412,1.336405885,14,8.366600265,1,5
gpt52_prid,S08,S,lower,invalid,0,-2.287765605,-2.331620613,0,0,0,5
gpt52_prid,S08,S,lower,invalid,1,-1.869406666,-1.893345828,4.4,4.4,0.4,5
gpt52_prid,S08,S,lower,invalid,2,-1.381886096,-1.382616993,0,0,0,5
gpt52_prid,S08,S,lower,valid,0,0.4844827452,0.5725997527,3,3,0,5
gpt52_prid,S08,S,lower,valid,1,0.3108930531,0.3907463776,9.8,9.8,1,5
gpt52_prid,S08,S,lower,valid,2,0.276933219,0.3551698962,4.4,4.4,0.2,5
gpt55,L01,L,lower,invalid,0,-0.4526228008,-0.354327875,5.8,5.8,0.85,20
gpt55,L01,L,lower,invalid,1,-0.5161613549,-0.4218889315,0.3,0.3,0,20
gpt55,L01,L,lower,invalid,2,0.02198581798,-0,2.7,2.7,0,20
gpt55,L01,L,lower,valid,0,0.9109174147,1.095535421,6.5,6.5,1,20
gpt55,L01,L,lower,valid,1,0.638557147,0.8059325543,6,6,1,20
gpt55,L01,L,lower,valid,2,0.5649508707,0.7276664076,5.9,5.9,1,20
gpt55,L02,L,raise,invalid,0,-0.5105778198,-0.4159519137,1.45,0.3626491463,0,20
gpt55,L02,L,raise,invalid,1,-0.8210403243,-0.7460691959,-0.95,-0.2375977165,0,20
gpt55,L02,L,raise,invalid,2,-1.06570808,-1.006226392,0,0,0,20
gpt55,L02,L,raise,valid,0,0.2107159124,0.3510055227,13.2,3.301357745,1,20
gpt55,L02,L,raise,valid,1,0.3929446065,0.5447707612,5.55,1.38807087,0.65,20
gpt55,L02,L,raise,valid,2,0.5436832706,0.7050523971,6.65,1.663184016,1,20
gpt55,L03,L,lower,invalid,0,-1.773831523,-1.759179754,0,0,0,20
gpt55,L03,L,lower,invalid,1,-0.7871840078,-0.7100695018,0,0,0,20
gpt55,L03,L,lower,invalid,2,-1.980641407,-1.979082369,0,0,0,20
gpt55,L03,L,lower,valid,0,1.164987368,1.365690049,24.85,22.81024345,1,20
gpt55,L03,L,lower,valid,1,0.6480076708,0.8159813723,13.65,12.52957035,1,20
gpt55,L03,L,lower,valid,2,0.8032085531,0.9810077208,27.25,25.01324483,1,20
gpt55,L04,L,raise,invalid,0,-1.447250929,-1.411923977,0,0,0,20
gpt55,L04,L,raise,invalid,1,-0.7185725527,-0.6371143888,0,0,0,20
gpt55,L04,L,raise,invalid,2,-1.352687076,-1.31137347,0,0,0,20
gpt55,L04,L,raise,valid,0,0.8211860749,1.000123365,12.25,3.659098217,1,20
gpt55,L04,L,raise,valid,1,1.060461743,1.25454711,6.95,2.075978172,1,20
gpt55,L04,L,raise,valid,2,0.5712032693,0.7343146335,12.7,3.79351407,1,20
gpt55,L07,L,lower,invalid,0,-1.535117426,-1.505353131,0,0,0,20
