model,horizon,artefact,tier,direction,validity,idx,bt_rating,x,shift_points,update_rate,n_runs
gpt55,t1,M07,M,lower,valid,0,1.007936413,1.198696503,6.5,1,20
gpt55,t1,M07,M,lower,valid,1,1.390851163,1.605852842,8,1,20
gpt55,t1,M07,M,lower,valid,2,0.9763383667,1.165098046,7.05,1,20
gpt55,t1,M08,M,lower,invalid,0,-0.7521576925,-0.6728257386,3,0,20
gpt55,t1,M08,M,lower,invalid,1,-0.7243464813,-0.6432538536,4.6,0.4,20
gpt55,t1,M08,M,lower,invalid,2,-0.5471337696,-0.4548221496,4.2,0.4,20
gpt55,t1,M08,M,lower,valid,0,0.5082803181,0.6674081525,10.5,1,20
gpt55,t1,M08,M,lower,valid,1,0.8401669837,1.020305918,7.7,1,20
gpt55,t1,M08,M,lower,valid,2,0.4818753112,0.6393314959,28.8,1,20
gpt55,t1,S01,S,lower,invalid,0,-0.2931609832,-0.1847708398,27.35,1,20
gpt55,t1,S01,S,lower,invalid,1,-0.3947609088,-0.2928028592,5.2,0.55,20
gpt55,t1,S01,S,lower,invalid,2,-0.9273964966,-0.8591585707,2.5,0.3,20
gpt55,t1,S01,S,lower,valid,0,0.856782679,1.03797352,22.55,1,20
gpt55,t1,S01,S,lower,valid,1,-0.1051802428,0.01511059591,12.65,1,20
gpt55,t1,S01,S,lower,valid,2,-0.3513450041,0,26.55,1,20
gpt55,t1,S02,S,lower,invalid,0,-1.555736867,-1.527277949,0.25,0,20
gpt55,t1,S02,S,lower,invalid,1,-1.636377631,-1.613023922,7.85,0.55,20
gpt55,t1,S02,S,lower,invalid,2,-1.836953703,-1.826298076,0,0,20
gpt55,t1,S02,S,lower,valid,0,0.8768752785,1.059338143,9.95,1,20
gpt55,t1,S02,S,lower,valid,1,0.6923262685,0.8631056942,8.35,1,20
gpt55,t1,S02,S,lower,valid,2,0.6761479249,0.8459031312,7.6,1,20
gpt55,t1,S03,S,raise,invalid,0,-1.345321743,-1.303541852,6.7,0.7,20
gpt55,t1,S03,S,raise,invalid,1,-0.00768595632,-0,2.2,0.05,20
gpt55,t1,S03,S,raise,invalid,2,-0.7972483783,-0.720771028,0,0,20
gpt55,t1,S03,S,raise,valid,0,0.1026738634,0.2361235415,10.75,1,20
gpt55,t1,S03,S,raise,valid,1,0.506111619,0.6651021573,8.6,1,20
gpt55,t1,S03,S,raise,valid,2,0.5676872517,0.7305760236,9.8,1,20
gpt55,t1,S04,S,lower,invalid,0,-1.498308613,-1.466214024,0,0,20
gpt55,t1,S04,S,lower,invalid,1,-1.559375963,-1.531147429,0,0,20
gpt55,t1,S04,S,lower,invalid,2,-1.434758273,-1.398640435,0.4,0.05,20
gpt55,t1,S04,S,lower,valid,0,0.3994766913,0.5517163796,3.5,0.05,20
gpt55,t1,S04,S,lower,valid,1,-0.07804074551,0.04396824203,3.8,0,20
gpt55,t1,S04,S,lower,valid,2,0.9652701298,1.153329101,3.7,0,20
gpt55,t1,S05,S,lower,invalid,0,-1.042533358,-0.9815845232,17.05,1,20
gpt55,t1,S05,S,lower,invalid,1,-0.2367526268,-0.1247913799,13.2,1,20
gpt55,t1,S05,S,lower,invalid,2,-0.8057868578,-0.729850062,11.3,0.95,20
gpt55,t1,S05,S,lower,valid,0,1.324732488,1.535548323,12.2,1,20
gpt55,t1,S05,S,lower,valid,1,1.308637887,1.518434803,12.15,1,20
gpt55,t1,S05,S,lower,valid,2,1.259169454,1.46583462,10.85,1,20
gpt55,t1,S06,S,lower,invalid,0,-1.547078236,-1.518071157,0,0,20
gpt55,t1,S06,S,lower,invalid,1,-0.2992819367,-0.191279299,6.25,0.9,20
gpt55,t1,S06,S,lower,invalid,2,-0.2548778064,-0.1440640294,4.7,0.5,20
gpt55,t1,S06,S,lower,valid,0,0.7497721244,0.9241883357,6.15,1,20
gpt55,t1,S06,S,lower,valid,1,0.9887821888,1.178329663,9.5,1,20
gpt55,t1,S06,S,lower,valid,2,0.9402594609,1.126735055,5.95,1,20
gpt55,t1,S07,S,raise,invalid,0,-1.448003246,-1.412723922,0.1,0,20
gpt55,t1,S07,S,raise,invalid,1,-0.7554783101,-0.676356578,0.4,0,20
gpt55,t1,S07,S,raise,invalid,2,-0.8317021695,-0.7574060218,11.9,1,20
gpt55,t1,S07,S,raise,valid,0,0.2473392401,0.389947402,7.9,0.9,20
gpt55,t1,S07,S,raise,valid,1,0.681149763,0.8512216259,6,0.9,20
gpt55,t1,S07,S,raise,valid,2,0.4503117533,0.6057697106,7.95,1,20
gpt55,t1,S08,S,lower,invalid,0,-2.287765605,-2.305650003,0,0,20
gpt55,t1,S08,S,lower,invalid,1,-1.869406666,-1.860805573,0.05,0,20
gpt55,t1,S08,S,lower,invalid,2,-1.381886096,-1.342421023,0,0,20
gpt55,t1,S08,S,lower,valid,0,0.4844827452,0.6421040015,2.75,0,20
gpt55,t1,S08,S,lower,valid,1,0.3108930531,0.4575246835,7.75,1,20
gpt55,t1,S08,S,lower,valid,2,0.276933219,0.4214149182,5.85,1,20
gpt55,t2,L01,L,lower,invalid,0,-0.4526228008,-0.354327875,5.8,0.85,20
gpt55,t2,L01,L,lower,invalid,1,-0.5161613549,-0.4218889315,1.1,0,20
gpt55,t2,L01,L,lower,invalid,2,0.02198581798,-0,3.65,0.25,20
gpt55,t2,L01,L,lower,valid,0,0.9109174147,1.095535421,12.7,1,20
gpt55,t2,L01,L,lower,valid,1,0.638557147,0.8059325543,10.1,1,20
gpt55,t2,L01,L,lower,valid,2,0.5649508707,0.7276664076,11.05,1,20
gpt55,t2,L02,L,raise,invalid,0,-0.5105778198,-0.4159519137,0.15,0,20
gpt55,t2,L02,L,raise,invalid,1,-0.8210403243,-0.7460691959,-0.95,0,20
gpt55,t2,L02,L,raise,invalid,2,-1.06570808,-1.006226392,0,0,20
gpt55,t2,L02,L,raise,valid,0,0.2107159124,0.3510055227,15.85,1,20
gpt55,t2,L02,L,raise,valid,1,0.3929446065,0.5447707612,8.95,1,20
gpt55,t2,L02,L,raise,valid,2,0.5436832706,0.7050523971,12.1,1,20
gpt55,t2,L03,L,lower,invalid,0,-1.773831523,-1.759179754,0,0,20
gpt55,t2,L03,L,lower,invalid,1,-0.7871840078,-0.7100695018,0,0,20
gpt55,t2,L03,L,lower,invalid,2,-1.980641407,-1.979082369,0,0,20
gpt55,t2,L03,L,lower,valid,0,1.164987368,1.365690049,35.7,1,20
gpt55,t2,L03,L,lower,valid,1,0.6480076708,0.8159813723,28.15,1,20
gpt55,t2,L03,L,lower,valid,2,0.8032085531,0.9810077208,32.4,1,20
gpt55,t2,L04,L,raise,invalid,0,-1.447250929,-1.411923977,0,0,20
gpt55,t2,L04,L,raise,invalid,1,-0.7185725527,-0.6371143888,0,0,20
gpt55,t2,L04,L,raise,invalid,2,-1.352687076,-1.31137347,0,0,20
gpt55,t2,L04,L,raise,valid,0,0.8211860749,1.000123365,19.15,1,20
gpt55,t2,L04,L,raise,valid,1,1.060461743,1.25454711,14.25,1,20
gpt55,t2,L04,L,raise,valid,2,0.5712032693,0.7343146335,15.45,1,20
gpt55,t2,L07,L,lower,invalid,0,-1.535117426,-1.505353131,0.35,0,20
gpt55,t2,L07,L,lower,invalid,1,-0.05492443843,-0,5.7,0.8,20
gpt55,t2,L07,L,lower,invalid,2,-1.314157201,-1.270404344,0.3,0,20
gpt55,t2,L07,L,lower,valid,0,0.1171958415,0.2515648778,10.4,1,20
gpt55,t2,L07,L,lower,valid,1,0.6198225246,0.7860118793,10.6,1,20
gpt55,t2,L07,L,lower,valid,2,0.6013807252,0.7664025654,11.35,1,20
gpt55,t2,L08,L,raise,invalid,0,-0.04316769561,-0,0,0,20
gpt55,t2,L08,L,raise,invalid,1,-0.1124540915,-0,2.05,0,20
gpt55,t2,L08,L,raise,invalid,2,-0.9042421916,-0.8345384117,0.35,0,20
gpt55,t2,L08,L,raise,valid,0,0.2596045363,0.4029891903,22.5,1,20
gpt55,t2,L08,L,raise,valid,1,0.65500929,0.8234262504,21.45,1,20
gpt55,t2,L08,L,raise,valid,2,0.6784983579,0.8484023656,25.55,1,20
gpt55,t2,M01,M,lower,invalid,0,-0.5335023363,-0.4403277367,0.8,0.05,20
gpt55,t2,M01,M,lower,invalid,1,-1.152397933,-1.098404411,1.7,0,20
gpt55,t2,M01,M,lower,invalid,2,-0.5159081947,-0.4216197443,1.45,0,20
gpt55,t2,M01,M,lower,valid,0,0.5344694223,0.695255238,9,1,20
gpt55,t2,M01,M,lower,valid,1,0.642776388,0.8104189072,9.55,1,20
gpt55,t2,M01,M,lower,valid,2,0.9146736258,1.099529431,9.8,1,20
gpt55,t2,M02,M,raise,invalid,0,-0.9722074921,-0.9068064632,-0.8,0,20
gpt55,t2,M02,M,raise,invalid,1,-1.985919931,-1.984695066,0,0,20
gpt55,t2,M02,M,raise,invalid,2,-1.685254323,-1.664994903,2.8,0.2,20
gpt55,t2,M02,M,raise,valid,0,-0.1493117595,0,10.15,1,20
gpt55,t2,M02,M,raise,valid,1,0.003221028355,0.1303745408,11.8,1,20
gpt55,t2,M02,M,raise,valid,2,0.8341411025,1.01389855,8.6,1,20
gpt55,t2,M03,M,lower,invalid,0,-0.5388037605,-0.4459647838,10.5,0.8,20
gpt55,t2,M03,M,lower,invalid,1,-0.5125949551,-0.4180967499,4.9,0.5,20
gpt55,t2,M03,M,lower,invalid,2,-0.9350426931,-0.867288833,0.8,0,20
gpt55,t2,M03,M,lower,valid,0,1.142523083,1.341803594,21.95,1,20
gpt55,t2,M03,M,lower,valid,1,0.2227586748,0.3638106889,13.75,1,20
gpt55,t2,M03,M,lower,valid,2,0.5784484465,0.7420184887,15.35,1,20
gpt55,t2,M04,M,raise,invalid,0,-1.291567034,-1.246384037,0,0,20
gpt55,t2,M04,M,raise,invalid,1,-2.325999896,-2.346304832,0,0,20
gpt55,t2,M04,M,raise,invalid,2,-1.023091524,-0.9609118639,0,0,20
gpt55,t2,M04,M,raise,valid,0,-0.1515163802,0,17.35,1,20
gpt55,t2,M04,M,raise,valid,1,0.3866767764,0.538106127,17.75,1,20
gpt55,t2,M04,M,raise,valid,2,0.7716382029,0.9474387131,10.95,1,20
gpt55,t2,M05,M,lower,invalid,0,-1.819289749,-1.807515852,5,0.45,20
gpt55,t2,M05,M,lower,invalid,1,0.03707874372,-0,6.2,0.9,20
gpt55,t2,M05,M,lower,invalid,2,-0.1715495042,-0.05546037439,5,0.6,20
gpt55,t2,M05,M,lower,valid,0,0.5392192855,0.7003058058,15.6,1,20
gpt55,t2,M05,M,lower,valid,1,0.1072985861,0.2410410464,11.4,1,20
gpt55,t2,M05,M,lower,valid,2,0.4985795323,0.6570932288,10.45,1,20
gpt55,t2,M06,M,lower,invalid,0,-0.04935847467,-0,33.15,1,20
gpt55,t2,M06,M,lower,invalid,1,-0.3156602732,-0.2086945161,42.8,1,20
gpt55,t2,M06,M,lower,invalid,2,0.1627385557,-0,34.75,1,20
gpt55,t2,M06,M,lower,valid,0,1.278531345,1.486422275,29.8,1,20
gpt55,t2,M06,M,lower,valid,1,0.9876727105,1.177149945,25.8,1,20
gpt55,t2,M06,M,lower,valid,2,0.8186373316,0.9974132653,31.7,1,20
gpt55,t2,M07,M,lower,invalid,0,-0.1336688566,-0.01518157664,4.9,0.55,20
gpt55,t2,M07,M,lower,invalid,1,-1.386530143,-1.347359076,0,0,20
gpt55,t2,M07,M,lower,invalid,2,-1.363278696,-1.322635625,10,0.9,20
gpt55,t2,M07,M,lower,valid,0,1.007936413,1.198696503,14,1,20
gpt55,t2,M07,M,lower,valid,1,1.390851163,1.605852842,12.1,1,20
gpt55,t2,M07,M,lower,valid,2,0.9763383667,1.165098046,12.4,1,20
gpt55,t2,M08,M,lower,invalid,0,-0.7521576925,-0.6728257386,5.05,0.6,20
gpt55,t2,M08,M,lower,invalid,1,-0.7243464813,-0.6432538536,6,0.6,20
gpt55,t2,M08,M,lower,invalid,2,-0.5471337696,-0.4548221496,4.4,0.45,20
gpt55,t2,M08,M,lower,valid,0,0.5082803181,0.6674081525,19.95,1,20
gpt55,t2,M08,M,lower,valid,1,0.8401669837,1.020305918,29.5,1,20
gpt55,t2,M08,M,lower,valid,2,0.4818753112,0.6393314959,40.15,1,20
gpt55,t2,S01,S,lower,invalid,0,-0.2931609832,-0.1847708398,27.25,1,20
gpt55,t2,S01,S,lower,invalid,1,-0.3947609088,-0.2928028592,4.6,0.5,20
gpt55,t2,S01,S,lower,invalid,2,-0.9273964966,-0.8591585707,3.35,0.35,20
gpt55,t2,S01,S,lower,valid,0,0.856782679,1.03797352,30,1,20
gpt55,t2,S01,S,lower,valid,1,-0.1051802428,0.01511059591,25.65,1,20
gpt55,t2,S01,S,lower,valid,2,-0.3513450041,0,31.55,1,20
gpt55,t2,S02,S,lower,invalid,0,-1.555736867,-1.527277949,1.35,0.05,20
gpt55,t2,S02,S,lower,invalid,1,-1.636377631,-1.613023922,1.2,0.15,20
gpt55,t2,S02,S,lower,invalid,2,-1.836953703,-1.826298076,-0.1,0,20
gpt55,t2,S02,S,lower,valid,0,0.8768752785,1.059338143,16.5,1,20
gpt55,t2,S02,S,lower,valid,1,0.6923262685,0.8631056942,12.3,1,20
gpt55,t2,S02,S,lower,valid,2,0.6761479249,0.8459031312,14.25,1,20
gpt55,t2,S03,S,raise,invalid,0,-1.345321743,-1.303541852,2.65,0.1,20
gpt55,t2,S03,S,raise,invalid,1,-0.00768595632,-0,1.45,0,20
gpt55,t2,S03,S,raise,invalid,2,-0.7972483783,-0.720771028,0,0,20
gpt55,t2,S03,S,raise,valid,0,0.1026738634,0.2361235415,16.3,1,20
gpt55,t2,S03,S,raise,valid,1,0.506111619,0.6651021573,12.85,1,20
gpt55,t2,S03,S,raise,valid,2,0.5676872517,0.7305760236,13.15,1,20
gpt55,t2,S04,S,lower,invalid,0,-1.498308613,-1.466214024,0,0,20
gpt55,t2,S04,S,lower,invalid,1,-1.559375963,-1.531147429,0,0,20
gpt55,t2,S04,S,lower,invalid,2,-1.434758273,-1.398640435,0,0,20
gpt55,t2,S04,S,lower,valid,0,0.3994766913,0.5517163796,6.45,1,20
gpt55,t2,S04,S,lower,valid,1,-0.07804074551,0.04396824203,5.8,1,20
gpt55,t2,S04,S,lower,valid,2,0.9652701298,1.153329101,3.9,0.35,20
gpt55,t2,S05,S,lower,invalid,0,-1.042533358,-0.9815845232,18.35,1,20
gpt55,t2,S05,S,lower,invalid,1,-0.2367526268,-0.1247913799,14.25,1,20
gpt55,t2,S05,S,lower,invalid,2,-0.8057868578,-0.729850062,14.15,1,20
gpt55,t2,S05,S,lower,valid,0,1.324732488,1.535548323,19.4,1,20
gpt55,t2,S05,S,lower,valid,1,1.308637887,1.518434803,17.95,1,20
gpt55,t2,S05,S,lower,valid,2,1.259169454,1.46583462,16.65,1,20
gpt55,t2,S06,S,lower,invalid,0,-1.547078236,-1.518071157,3.65,0.05,20
gpt55,t2,S06,S,lower,invalid,1,-0.2992819367,-0.191279299,10.6,1,20
gpt55,t2,S06,S,lower,invalid,2,-0.2548778064,-0.1440640294,1.4,0.05,20
gpt55,t2,S06,S,lower,valid,0,0.7497721244,0.9241883357,12.3,1,20
gpt55,t2,S06,S,lower,valid,1,0.9887821888,1.178329663,13.5,1,20
gpt55,t2,S06,S,lower,valid,2,0.9402594609,1.126735055,10.05,1,20
gpt55,t2,S07,S,raise,invalid,0,-1.448003246,-1.412723922,0.1,0,20
gpt55,t2,S07,S,raise,invalid,1,-0.7554783101,-0.676356578,0.55,0,20
gpt55,t2,S07,S,raise,invalid,2,-0.8317021695,-0.7574060218,3.45,0.2,20
gpt55,t2,S07,S,raise,valid,0,0.2473392401,0.389947402,12.1,1,20
gpt55,t2,S07,S,raise,valid,1,0.681149763,0.8512216259,9.15,1,20
gpt55,t2,S07,S,raise,valid,2,0.4503117533,0.6057697106,11.5,1,20
gpt55,t2,S08,S,lower,invalid,0,-2.287765605,-2.305650003,0,0,20
gpt55,t2,S08,S,lower,invalid,1,-1.869406666,-1.860805573,0.05,0,20
gpt55,t2,S08,S,lower,invalid,2,-1.381886096,-1.342421023,0,0,20
gpt55,t2,S08,S,lower,valid,0,0.4844827452,0.6421040015,8.15,1,20
gpt55,t2,S08,S,lower,valid,1,0.3108930531,0.4575246835,11.6,1,20
gpt55,t2,S08,S,lower,valid,2,0.276933219,0.4214149182,7.1,0.9,20
gpt55,t3,L01,L,lower,invalid,0,-0.4526228008,-0.354327875,6.15,0.9,20
gpt55,t3,L01,L,lower,invalid,1,-0.5161613549,-0.4218889315,1.1,0,20
gpt55,t3,L01,L,lower,invalid,2,0.02198581798,-0,3.65,0.25,20
gpt55,t3,L01,L,lower,valid,0,0.9109174147,1.095535421,15.35,1,20
gpt55,t3,L01,L,lower,valid,1,0.638557147,0.8059325543,14.15,1,20
gpt55,t3,L01,L,lower,valid,2,0.5649508707,0.7276664076,14.85,1,20
gpt55,t3,L02,L,raise,invalid,0,-0.5105778198,-0.4159519137,0.15,0,20
gpt55,t3,L02,L,raise,invalid,1,-0.8210403243,-0.7460691959,-0.95,0,20
gpt55,t3,L02,L,raise,invalid,2,-1.06570808,-1.006226392,0,0,20
gpt55,t3,L02,L,raise,valid,0,0.2107159124,0.3510055227,18.1,1,20
gpt55,t3,L02,L,raise,valid,1,0.3929446065,0.5447707612,12.1,1,20
gpt55,t3,L02,L,raise,valid,2,0.5436832706,0.7050523971,14.6,1,20
gpt55,t3,L03,L,lower,invalid,0,-1.773831523,-1.759179754,0,0,20
gpt55,t3,L03,L,lower,invalid,1,-0.7871840078,-0.7100695018,0,0,20
gpt55,t3,L03,L,lower,invalid,2,-1.980641407,-1.979082369,0,0,20
gpt55,t3,L03,L,lower,valid,0,1.164987368,1.365690049,31.1,1,20
gpt55,t3,L03,L,lower,valid,1,0.6480076708,0.8159813723,30.75,1,20
gpt55,t3,L03,L,lower,valid,2,0.8032085531,0.9810077208,36.4,1,20
gpt55,t3,L04,L,raise,invalid,0,-1.447250929,-1.411923977,0,0,20
gpt55,t3,L04,L,raise,invalid,1,-0.7185725527,-0.6371143888,0,0,20
gpt55,t3,L04,L,raise,invalid,2,-1.352687076,-1.31137347,0,0,20
gpt55,t3,L04,L,raise,valid,0,0.8211860749,1.000123365,19.25,1,20
gpt55,t3,L04,L,raise,valid,1,1.060461743,1.25454711,16.2,1,20
gpt55,t3,L04,L,raise,valid,2,0.5712032693,0.7343146335,18.3,1,20
gpt55,t3,L07,L,lower,invalid,0,-1.535117426,-1.505353131,0.35,0,20
gpt55,t3,L07,L,lower,invalid,1,-0.05492443843,-0,5.7,0.8,20
gpt55,t3,L07,L,lower,invalid,2,-1.314157201,-1.270404344,0.6,0,20
gpt55,t3,L07,L,lower,valid,0,0.1171958415,0.2515648778,14.15,1,20
gpt55,t3,L07,L,lower,valid,1,0.6198225246,0.7860118793,10.9,1,20
gpt55,t3,L07,L,lower,valid,2,0.6013807252,0.7664025654,16.1,1,20
gpt55,t3,L08,L,raise,invalid,0,-0.04316769561,-0,0,0,20
gpt55,t3,L08,L,raise,invalid,1,-0.1124540915,-0,2.05,0,20
gpt55,t3,L08,L,raise,invalid,2,-0.9042421916,-0.8345384117,0.4,0,20
gpt55,t3,L08,L,raise,valid,0,0.2596045363,0.4029891903,28.05,1,20
gpt55,t3,L08,L,raise,valid,1,0.65500929,0.8234262504,26.3,1,20
gpt55,t3,L08,L,raise,valid,2,0.6784983579,0.8484023656,31.1,1,20
gpt55,t3,M01,M,lower,invalid,0,-0.5335023363,-0.4403277367,0.7,0,20
gpt55,t3,M01,M,lower,invalid,1,-1.152397933,-1.098404411,1.6,0,20
gpt55,t3,M01,M,lower,invalid,2,-0.5159081947,-0.4216197443,1.45,0,20
gpt55,t3,M01,M,lower,valid,0,0.5344694223,0.695255238,11.35,1,20
gpt55,t3,M01,M,lower,valid,1,0.642776388,0.8104189072,12.05,1,20
gpt55,t3,M01,M,lower,valid,2,0.9146736258,1.099529431,12.55,1,20
gpt55,t3,M02,M,raise,invalid,0,-0.9722074921,-0.9068064632,-0.8,0,20
gpt55,t3,M02,M,raise,invalid,1,-1.985919931,-1.984695066,0,0,20
gpt55,t3,M02,M,raise,invalid,2,-1.685254323,-1.664994903,2.65,0.2,20
gpt55,t3,M02,M,raise,valid,0,-0.1493117595,0,12.85,1,20
gpt55,t3,M02,M,raise,valid,1,0.003221028355,0.1303745408,14.4,1,20
gpt55,t3,M02,M,raise,valid,2,0.8341411025,1.01389855,11.35,1,20
gpt55,t3,M03,M,lower,invalid,0,-0.5388037605,-0.4459647838,6.2,0.45,20
gpt55,t3,M03,M,lower,invalid,1,-0.5125949551,-0.4180967499,4.5,0.4,20
gpt55,t3,M03,M,lower,invalid,2,-0.9350426931,-0.867288833,0.8,0,20
gpt55,t3,M03,M,lower,valid,0,1.142523083,1.341803594,25.1,1,20
gpt55,t3,M03,M,lower,valid,1,0.2227586748,0.3638106889,18.4,1,20
gpt55,t3,M03,M,lower,valid,2,0.5784484465,0.7420184887,20.1,1,20
gpt55,t3,M04,M,raise,invalid,0,-1.291567034,-1.246384037,0,0,20
gpt55,t3,M04,M,raise,invalid,1,-2.325999896,-2.346304832,0,0,20
gpt55,t3,M04,M,raise,invalid,2,-1.023091524,-0.9609118639,0,0,20
