model,horizon,artefact,tier,direction,tpr,fpr
gpt55,t2,S07,S,raise,1,0.06666666667
gpt55,t2,S08,S,lower,0.9666666667,0
gpt55,t3,L01,L,lower,1,0.3833333333
gpt55,t3,L02,L,raise,1,0
gpt55,t3,L03,L,lower,1,0
gpt55,t3,L04,L,raise,1,0
gpt55,t3,L07,L,lower,1,0.2666666667
gpt55,t3,L08,L,raise,1,0
gpt55,t3,M01,M,lower,1,0
gpt55,t3,M02,M,raise,1,0.06666666667
gpt55,t3,M03,M,lower,1,0.2833333333
gpt55,t3,M04,M,raise,1,0
gpt55,t3,M05,M,lower,1,0.8333333333
gpt55,t3,M06,M,lower,1,1
gpt55,t3,M07,M,lower,1,0.4
gpt55,t3,M08,M,lower,1,0.6333333333
gpt55,t3,S01,S,lower,1,0.6
gpt55,t3,S02,S,lower,1,0.03333333333
gpt55,t3,S03,S,raise,1,0.1666666667
gpt55,t3,S04,S,lower,1,0
gpt55,t3,S05,S,lower,1,0.9833333333
gpt55,t3,S06,S,lower,1,0.2833333333
gpt55,t3,S07,S,raise,1,0.15
gpt55,t3,S08,S,lower,1,0
o4mini,t1,L01,L,lower,0.65,0.6166666667
o4mini,t1,L02,L,lower,1,1
o4mini,t1,L03,L,lower,1,0.06779661017
o4mini,t1,L04,L,lower,1,0.9666666667
o4mini,t1,L07,L,lower,0.8666666667,0.3103448276
o4mini,t1,L08,L,raise,1,0.9166666667
o4mini,t1,M01,M,lower,0.8333333333,0.9833333333
o4mini,t1,M02,M,raise,1,0.1016949153
o4mini,t1,M03,M,lower,1,0.9166666667
o4mini,t1,M04,M,raise,0.95,0.06779661017
o4mini,t1,M05,M,lower,0.7666666667,0.813559322
o4mini,t1,M06,M,lower,1,0.9830508475
o4mini,t1,M07,M,lower,1,0.6333333333
o4mini,t1,M08,M,lower,1,0.95
o4mini,t1,S01,S,raise,1,0.2542372881
o4mini,t1,S02,S,lower,1,0.7666666667
o4mini,t1,S03,S,raise,0.9833333333,0.5833333333
o4mini,t1,S04,S,lower,0.1,0.08333333333
o4mini,t1,S05,S,raise,1,0.06666666667
o4mini,t1,S06,S,lower,1,0.85
o4mini,t1,S07,S,raise,1,0.6101694915
o4mini,t1,S08,S,lower,0.7,0.07142857143
o4mini,t2,L01,L,lower,0.9833333333,0.4333333333
o4mini,t2,L02,L,lower,1,1
o4mini,t2,L03,L,lower,1,0.01694915254
o4mini,t2,L04,L,lower,1,0.9833333333
o4mini,t2,L07,L,lower,1,0.3448275862
o4mini,t2,L08,L,raise,1,0.8833333333
o4mini,t2,M01,M,lower,1,0.9666666667
o4mini,t2,M02,M,raise,1,0.1186440678
o4mini,t2,M03,M,lower,1,0.8666666667
o4mini,t2,M04,M,raise,0.9833333333,0.01694915254
o4mini,t2,M05,M,lower,1,0.9661016949
o4mini,t2,M06,M,lower,1,1
o4mini,t2,M07,M,lower,1,0.4333333333
o4mini,t2,M08,M,lower,1,0.9833333333
o4mini,t2,S01,S,raise,1,0.08474576271
o4mini,t2,S02,S,lower,1,0.9333333333
o4mini,t2,S03,S,raise,0.9833333333,0.5
o4mini,t2,S04,S,lower,0.35,0.06666666667
o4mini,t2,S05,S,raise,1,0.06666666667
o4mini,t2,S06,S,lower,1,0.8666666667
o4mini,t2,S07,S,raise,1,0.5423728814
o4mini,t2,S08,S,lower,1,0.08928571429
o4mini,t3,L01,L,lower,1,0.2333333333
o4mini,t3,L02,L,lower,1,0.9833333333
o4mini,t3,L03,L,lower,1,0
o4mini,t3,L04,L,lower,1,1
o4mini,t3,L07,L,lower,1,0.3965517241
o4mini,t3,L08,L,raise,1,0.8833333333
o4mini,t3,M01,M,lower,1,0.9
o4mini,t3,M02,M,raise,1,0.08474576271
o4mini,t3,M03,M,lower,1,0.7333333333
o4mini,t3,M04,M,raise,0.9666666667,0.01694915254
o4mini,t3,M05,M,lower,1,0.9661016949
o4mini,t3,M06,M,lower,1,1
o4mini,t3,M07,M,lower,1,0.4833333333
o4mini,t3,M08,M,lower,1,0.9833333333
o4mini,t3,S01,S,raise,1,0.05084745763
o4mini,t3,S02,S,lower,1,0.95
o4mini,t3,S03,S,raise,1,0.4
o4mini,t3,S04,S,lower,0.7333333333,0.05
o4mini,t3,S05,S,raise,1,0.05
o4mini,t3,S06,S,lower,1,0.9333333333
o4mini,t3,S07,S,raise,1,0.4237288136
o4mini,t3,S08,S,lower,1,0.1071428571
