model,label,horizon,n_artefacts,n_invalid_runs,valid_update_rate,invalid_update_rate,ads,mss,mss_ci_low,mss_ci_high,invalid_conditional_magnitude,invalid_positive_mean,invalid_away_rate,spectrum_resistant,spectrum_soft,spectrum_threshold,spectrum_strong,spectrum_extreme,invalid_shift_p90,invalid_shift_p95,invalid_shift_max
gpt55_prid,GPT-5.5 PRID,t3,22,330,1.0,0.28484848484848485,71.51515151515152,14.036363636363637,5.138787878787879,25.155454545454525,10.362358276643992,4.587878787878788,0.009090909090909092,0.5393939393939394,0.17575757575757575,0.14545454545454548,0.09090909090909091,0.048484848484848485,13.0,23.0,50.0
gpt5_prid,GPT-5 PRID,t1,22,330,0.896969696969697,0.5727272727272728,33.63636363636363,42.836363636363636,30.956969696969693,55.07909090909091,28.80240402871982,16.82121212121212,0.0,0.3151515151515152,0.11212121212121212,0.12424242424242425,0.13939393939393938,0.3090909090909091,50.10000000000002,58.0,75.0
gpt5_prid,GPT-5 PRID,t2,22,330,0.990909090909091,0.6727272727272727,31.818181818181817,54.99393939393939,41.22424242424242,68.35545454545453,33.184104199893675,23.296969696969697,0.0,0.29393939393939394,0.03333333333333333,0.08181818181818182,0.19393939393939394,0.3969696969696969,59.10000000000002,69.0,82.0
gpt5_prid,GPT-5 PRID,t3,22,330,0.996969696969697,0.6696969696969697,32.72727272727273,56.775757575757574,41.82363636363636,71.9530303030303,36.13746370588476,26.215151515151515,0.0,0.3060606060606061,0.024242424242424242,0.05454545454545454,0.17575757575757575,0.4393939393939394,61.10000000000002,76.55000000000001,91.0
o3_prid,o3 PRID,t1,22,330,0.893939393939394,0.6272727272727273,28.181818181818183,36.20606060606061,25.597878787878788,47.054848484848485,15.458538683538684,11.375757575757577,0.0,0.19090909090909092,0.18181818181818182,0.21212121212121213,0.2696969696969697,0.14545454545454548,29.100000000000023,38.0,68.0
o3_prid,o3 PRID,t2,22,330,0.996969696969697,0.7333333333333333,26.363636363636363,50.96969696969697,38.048484848484854,63.40969696969695,22.978013779150142,17.078787878787878,0.0,0.12727272727272726,0.13939393939393938,0.16363636363636364,0.29393939393939394,0.27575757575757576,40.0,50.0,84.0
o3_prid,o3 PRID,t3,22,330,1.0,0.7454545454545454,25.454545454545453,55.15151515151515,40.664848484848484,68.77939393939391,22.98046953046953,19.336363636363636,0.006060606060606061,0.13333333333333333,0.1212121212121212,0.12727272727272726,0.2727272727272727,0.34545454545454546,46.10000000000002,55.55000000000001,69.0
o4mini,o4-mini,t1,22,1307,0.9022727272727273,0.5733369007769943,33.788549264878895,38.10762104639954,26.396543169230927,50.64691628968148,21.42271696508811,12.72294625304561,0.004609655880842321,0.39039465794287537,0.03626844128013035,0.1063662107423066,0.2666052168170812,0.20036547321760648,35.0,50.0,92.0
o4mini,o4-mini,t2,22,1307,0.9681818181818183,0.5528731520768342,41.53086661049841,43.73229510602392,29.071134162447724,59.82811046298334,28.425516059680305,17.253571017429874,0.013911512216596962,0.39929631541262167,0.047830532510544206,0.0720276995554611,0.15197961496909482,0.3288658375522782,50.80000000000018,59.0,91.0
o4mini,o4-mini,t3,22,1307,0.9863636363636363,0.5286091270895479,45.77545092740885,42.464869282285996,27.41786869909751,59.40169051287695,28.193294772096063,18.35592214623483,0.02223934257832563,0.4138049316745986,0.05758594123585357,0.0666617962205338,0.13390051892389707,0.32804681194511703,59.0,64.0,91.0
