model,turn,threshold,weight_family,aggregation,p_val,p_inval,ads,n_valid_artifacts,n_invalid_artifacts
o4-mini,3,5,ads_hinged,max,0.9863636363636364,0.5249864457873173,46.13771905763191,22,22
o4-mini,3,5,ads_hinged,mean,0.9865449185624994,0.524901540063242,46.164337849925744,22,22
o4-mini,3,5,ads_hinged,median,0.9864255222188271,0.5287512476352277,45.76742745835993,22,22
o4-mini,3,5,ads_hinged,min,0.9877934953986863,0.4450787939323988,54.27147014662875,22,15
o4-mini,3,5,ads_hinged,sum,0.9868071418133791,0.519888167414515,46.69189743988641,22,22
o4-mini,3,5,none,unweighted,0.9863636363636364,0.528609127089548,45.77545092740885,22,22
o4-mini,3,5,raw_bt_abs,lead,0.9921689206228415,0.5090508072662545,48.311811335658696,22,22
o4-mini,3,5,raw_bt_abs,max,0.9863636363636364,0.5254776575551549,46.088597880848155,22,22
o4-mini,3,5,raw_bt_abs,mean,0.9864083574516722,0.525253499501897,46.115485794977516,22,22
o4-mini,3,5,raw_bt_abs,median,0.9862288199030339,0.526923230551771,45.930558935126285,22,22
o4-mini,3,5,raw_bt_abs,min,0.986880235905291,0.5271066387631049,45.9773597142186,22,22
o4-mini,3,5,raw_bt_abs,sum,0.9866880105011835,0.5201395357924052,46.654847470877826,22,22
