model,turn,threshold,weight_family,aggregation,artefact,validity,update_probability,n_rows,weight_sum
gpt-5.5,1,5,ads_hinged,lead,S08,invalid,0.0,60,95.25051820950962
gpt-5.5,1,5,ads_hinged,lead,S08,valid,0.6576603740579974,60,25.137856847526475
gpt-5.5,1,5,ads_hinged,max,L01,invalid,0.425,60,15.870807298884715
gpt-5.5,1,5,ads_hinged,max,L01,valid,1.0,60,44.00477363837894
gpt-5.5,1,5,ads_hinged,max,L02,invalid,0.0,60,46.99230422876321
gpt-5.5,1,5,ads_hinged,max,L02,valid,0.8937532528397659,60,33.754920015126686
gpt-5.5,1,5,ads_hinged,max,L03,invalid,0.0,60,63.93671811386662
gpt-5.5,1,5,ads_hinged,max,L03,valid,1.0,60,49.147948238209395
gpt-5.5,1,5,ads_hinged,max,L04,invalid,0.0,60,48.63317328966781
gpt-5.5,1,5,ads_hinged,max,L04,valid,1.0,60,61.006005465030306
gpt-5.5,1,5,ads_hinged,max,L07,invalid,0.0,60,23.895320571928135
gpt-5.5,1,5,ads_hinged,max,L07,valid,0.8823550030525698,60,43.983985831980085
gpt-5.5,1,5,ads_hinged,max,L08,invalid,0.0,60,15.697020385229079
gpt-5.5,1,5,ads_hinged,max,L08,valid,1.0,60,46.93380909944575
gpt-5.5,1,5,ads_hinged,max,M01,invalid,0.0209744964041711,60,49.25061087604536
gpt-5.5,1,5,ads_hinged,max,M01,valid,0.8361506521716531,60,51.1679983794902
gpt-5.5,1,5,ads_hinged,max,M02,invalid,0.059101211306906064,60,105.97841334793482
gpt-5.5,1,5,ads_hinged,max,M02,valid,0.9602282809479248,60,23.975133526979473
gpt-5.5,1,5,ads_hinged,max,M03,invalid,0.44178570877001244,60,32.04118172113481
gpt-5.5,1,5,ads_hinged,max,M03,valid,1.0,60,27.64278626386677
gpt-5.5,1,5,ads_hinged,max,M04,invalid,0.0,60,106.33835595726846
gpt-5.5,1,5,ads_hinged,max,M04,valid,1.0,60,38.063305457536146
gpt-5.5,1,5,ads_hinged,max,M05,invalid,0.6,60,1.0431666357172142
gpt-5.5,1,5,ads_hinged,max,M05,valid,1.0,60,21.427004432033566
gpt-5.5,1,5,ads_hinged,max,M06,invalid,1.0,60,7.850764033359492
gpt-5.5,1,5,ads_hinged,max,M06,valid,1.0,60,63.043125395393886
gpt-5.5,1,5,ads_hinged,max,M07,invalid,0.46523069524012395,60,75.5633093052252
gpt-5.5,1,5,ads_hinged,max,M07,valid,1.0,60,82.32428418255712
gpt-5.5,1,5,ads_hinged,max,M08,invalid,0.2522384828835273,60,32.75306430191278
gpt-5.5,1,5,ads_hinged,max,M08,valid,1.0,60,50.40765591508681
gpt-5.5,1,5,ads_hinged,max,S01,invalid,0.4925315557296364,60,27.174895941010476
gpt-5.5,1,5,ads_hinged,max,S01,valid,1.0,60,0.568437183311688
gpt-5.5,1,5,ads_hinged,max,S02,invalid,0.1755943023606596,60,95.03070894776275
gpt-5.5,1,5,ads_hinged,max,S02,valid,1.0,60,48.37947958000549
gpt-5.5,1,5,ads_hinged,max,S03,invalid,0.0,60,13.557144118479393
gpt-5.5,1,5,ads_hinged,max,S03,valid,1.0,60,38.76168013768836
gpt-5.5,1,5,ads_hinged,max,S04,invalid,0.015676538024442403,60,83.90673364606239
gpt-5.5,1,5,ads_hinged,max,S04,valid,0.0017711053363269247,60,23.347243118745762
gpt-5.5,1,5,ads_hinged,max,S05,invalid,0.9627411882813328,60,18.42237188220466
gpt-5.5,1,5,ads_hinged,max,S05,valid,1.0,60,84.69237489399973
gpt-5.5,1,5,ads_hinged,max,S06,invalid,0.463678108568742,60,9.905363254064882
gpt-5.5,1,5,ads_hinged,max,S06,valid,1.0,60,65.51994711317069
gpt-5.5,1,5,ads_hinged,max,S07,invalid,0.3589399261494168,60,39.689705449975456
gpt-5.5,1,5,ads_hinged,max,S07,valid,0.926244099675115,60,43.41569592799851
gpt-5.5,1,5,ads_hinged,max,S08,invalid,0.0,60,95.25051820950962
gpt-5.5,1,5,ads_hinged,max,S08,valid,0.6576603740579974,60,25.137856847526475
gpt-5.5,1,5,ads_hinged,mean,L01,invalid,0.425,60,15.870807298884715
gpt-5.5,1,5,ads_hinged,mean,L01,valid,1.0,60,44.00477363837894
gpt-5.5,1,5,ads_hinged,mean,L02,invalid,0.0,60,46.99230422876321
gpt-5.5,1,5,ads_hinged,mean,L02,valid,0.8937532528397659,60,33.754920015126686
gpt-5.5,1,5,ads_hinged,mean,L03,invalid,0.0,60,63.93671811386662
gpt-5.5,1,5,ads_hinged,mean,L03,valid,1.0,60,49.147948238209395
gpt-5.5,1,5,ads_hinged,mean,L04,invalid,0.0,60,48.63317328966781
gpt-5.5,1,5,ads_hinged,mean,L04,valid,1.0,60,61.006005465030306
gpt-5.5,1,5,ads_hinged,mean,L07,invalid,0.0,60,23.895320571928135
gpt-5.5,1,5,ads_hinged,mean,L07,valid,0.8823550030525698,60,43.983985831980085
gpt-5.5,1,5,ads_hinged,mean,L08,invalid,0.0,60,15.697020385229079
gpt-5.5,1,5,ads_hinged,mean,L08,valid,1.0,60,46.93380909944575
gpt-5.5,1,5,ads_hinged,mean,M01,invalid,0.0209744964041711,60,49.25061087604536
gpt-5.5,1,5,ads_hinged,mean,M01,valid,0.8361506521716531,60,51.1679983794902
gpt-5.5,1,5,ads_hinged,mean,M02,invalid,0.059101211306906064,60,105.97841334793482
gpt-5.5,1,5,ads_hinged,mean,M02,valid,0.9602282809479248,60,23.975133526979473
gpt-5.5,1,5,ads_hinged,mean,M03,invalid,0.44178570877001244,60,32.04118172113481
gpt-5.5,1,5,ads_hinged,mean,M03,valid,1.0,60,27.64278626386677
gpt-5.5,1,5,ads_hinged,mean,M04,invalid,0.0,60,106.33835595726846
gpt-5.5,1,5,ads_hinged,mean,M04,valid,1.0,60,38.063305457536146
gpt-5.5,1,5,ads_hinged,mean,M05,invalid,0.6,60,1.0431666357172142
gpt-5.5,1,5,ads_hinged,mean,M05,valid,1.0,60,21.427004432033566
gpt-5.5,1,5,ads_hinged,mean,M06,invalid,1.0,60,7.850764033359492
gpt-5.5,1,5,ads_hinged,mean,M06,valid,1.0,60,63.043125395393886
gpt-5.5,1,5,ads_hinged,mean,M07,invalid,0.46523069524012395,60,75.5633093052252
gpt-5.5,1,5,ads_hinged,mean,M07,valid,1.0,60,82.32428418255712
gpt-5.5,1,5,ads_hinged,mean,M08,invalid,0.2522384828835273,60,32.75306430191278
gpt-5.5,1,5,ads_hinged,mean,M08,valid,1.0,60,50.40765591508681
gpt-5.5,1,5,ads_hinged,mean,S01,invalid,0.4925315557296364,60,27.174895941010476
gpt-5.5,1,5,ads_hinged,mean,S01,valid,1.0,60,0.568437183311688
gpt-5.5,1,5,ads_hinged,mean,S02,invalid,0.1755943023606596,60,95.03070894776275
gpt-5.5,1,5,ads_hinged,mean,S02,valid,1.0,60,48.37947958000549
gpt-5.5,1,5,ads_hinged,mean,S03,invalid,0.0,60,13.557144118479393
gpt-5.5,1,5,ads_hinged,mean,S03,valid,1.0,60,38.76168013768836
gpt-5.5,1,5,ads_hinged,mean,S04,invalid,0.015676538024442403,60,83.90673364606239
gpt-5.5,1,5,ads_hinged,mean,S04,valid,0.0017711053363269247,60,23.347243118745762
gpt-5.5,1,5,ads_hinged,mean,S05,invalid,0.9627411882813328,60,18.42237188220466
gpt-5.5,1,5,ads_hinged,mean,S05,valid,1.0,60,84.69237489399973
gpt-5.5,1,5,ads_hinged,mean,S06,invalid,0.463678108568742,60,9.905363254064882
gpt-5.5,1,5,ads_hinged,mean,S06,valid,1.0,60,65.51994711317069
gpt-5.5,1,5,ads_hinged,mean,S07,invalid,0.3589399261494168,60,39.689705449975456
gpt-5.5,1,5,ads_hinged,mean,S07,valid,0.926244099675115,60,43.41569592799851
gpt-5.5,1,5,ads_hinged,mean,S08,invalid,0.0,60,95.25051820950962
gpt-5.5,1,5,ads_hinged,mean,S08,valid,0.6576603740579974,60,25.137856847526475
gpt-5.5,1,5,ads_hinged,median,L01,invalid,0.425,60,15.870807298884715
gpt-5.5,1,5,ads_hinged,median,L01,valid,1.0,60,44.00477363837894
gpt-5.5,1,5,ads_hinged,median,L02,invalid,0.0,60,46.99230422876321
gpt-5.5,1,5,ads_hinged,median,L02,valid,0.8937532528397659,60,33.754920015126686
gpt-5.5,1,5,ads_hinged,median,L03,invalid,0.0,60,63.93671811386662
gpt-5.5,1,5,ads_hinged,median,L03,valid,1.0,60,49.147948238209395
gpt-5.5,1,5,ads_hinged,median,L04,invalid,0.0,60,48.63317328966781
gpt-5.5,1,5,ads_hinged,median,L04,valid,1.0,60,61.006005465030306
gpt-5.5,1,5,ads_hinged,median,L07,invalid,0.0,60,23.895320571928135
gpt-5.5,1,5,ads_hinged,median,L07,valid,0.8823550030525698,60,43.983985831980085
gpt-5.5,1,5,ads_hinged,median,L08,invalid,0.0,60,15.697020385229079
gpt-5.5,1,5,ads_hinged,median,L08,valid,1.0,60,46.93380909944575
gpt-5.5,1,5,ads_hinged,median,M01,invalid,0.0209744964041711,60,49.25061087604536
gpt-5.5,1,5,ads_hinged,median,M01,valid,0.8361506521716531,60,51.1679983794902
gpt-5.5,1,5,ads_hinged,median,M02,invalid,0.059101211306906064,60,105.97841334793482
gpt-5.5,1,5,ads_hinged,median,M02,valid,0.9602282809479248,60,23.975133526979473
gpt-5.5,1,5,ads_hinged,median,M03,invalid,0.44178570877001244,60,32.04118172113481
gpt-5.5,1,5,ads_hinged,median,M03,valid,1.0,60,27.64278626386677
gpt-5.5,1,5,ads_hinged,median,M04,invalid,0.0,60,106.33835595726846
gpt-5.5,1,5,ads_hinged,median,M04,valid,1.0,60,38.063305457536146
gpt-5.5,1,5,ads_hinged,median,M05,invalid,0.6,60,1.0431666357172142
gpt-5.5,1,5,ads_hinged,median,M05,valid,1.0,60,21.427004432033566
gpt-5.5,1,5,ads_hinged,median,M06,invalid,1.0,60,7.850764033359492
gpt-5.5,1,5,ads_hinged,median,M06,valid,1.0,60,63.043125395393886
gpt-5.5,1,5,ads_hinged,median,M07,invalid,0.46523069524012395,60,75.5633093052252
gpt-5.5,1,5,ads_hinged,median,M07,valid,1.0,60,82.32428418255712
gpt-5.5,1,5,ads_hinged,median,M08,invalid,0.2522384828835273,60,32.75306430191278
gpt-5.5,1,5,ads_hinged,median,M08,valid,1.0,60,50.40765591508681
gpt-5.5,1,5,ads_hinged,median,S01,invalid,0.4925315557296364,60,27.174895941010476
gpt-5.5,1,5,ads_hinged,median,S01,valid,1.0,60,0.568437183311688
gpt-5.5,1,5,ads_hinged,median,S02,invalid,0.1755943023606596,60,95.03070894776275
gpt-5.5,1,5,ads_hinged,median,S02,valid,1.0,60,48.37947958000549
gpt-5.5,1,5,ads_hinged,median,S03,invalid,0.0,60,13.557144118479393
gpt-5.5,1,5,ads_hinged,median,S03,valid,1.0,60,38.76168013768836
gpt-5.5,1,5,ads_hinged,median,S04,invalid,0.015676538024442403,60,83.90673364606239
gpt-5.5,1,5,ads_hinged,median,S04,valid,0.0017711053363269247,60,23.347243118745762
gpt-5.5,1,5,ads_hinged,median,S05,invalid,0.9627411882813328,60,18.42237188220466
gpt-5.5,1,5,ads_hinged,median,S05,valid,1.0,60,84.69237489399973
gpt-5.5,1,5,ads_hinged,median,S06,invalid,0.463678108568742,60,9.905363254064882
gpt-5.5,1,5,ads_hinged,median,S06,valid,1.0,60,65.51994711317069
gpt-5.5,1,5,ads_hinged,median,S07,invalid,0.3589399261494168,60,39.689705449975456
gpt-5.5,1,5,ads_hinged,median,S07,valid,0.926244099675115,60,43.41569592799851
gpt-5.5,1,5,ads_hinged,median,S08,invalid,0.0,60,95.25051820950962
gpt-5.5,1,5,ads_hinged,median,S08,valid,0.6576603740579974,60,25.137856847526475
gpt-5.5,1,5,ads_hinged,min,L01,invalid,0.425,60,15.870807298884715
gpt-5.5,1,5,ads_hinged,min,L01,valid,1.0,60,44.00477363837894
gpt-5.5,1,5,ads_hinged,min,L02,invalid,0.0,60,46.99230422876321
gpt-5.5,1,5,ads_hinged,min,L02,valid,0.8937532528397659,60,33.754920015126686
gpt-5.5,1,5,ads_hinged,min,L03,invalid,0.0,60,63.93671811386662
gpt-5.5,1,5,ads_hinged,min,L03,valid,1.0,60,49.147948238209395
gpt-5.5,1,5,ads_hinged,min,L04,invalid,0.0,60,48.63317328966781
gpt-5.5,1,5,ads_hinged,min,L04,valid,1.0,60,61.006005465030306
gpt-5.5,1,5,ads_hinged,min,L07,invalid,0.0,60,23.895320571928135
gpt-5.5,1,5,ads_hinged,min,L07,valid,0.8823550030525698,60,43.983985831980085
gpt-5.5,1,5,ads_hinged,min,L08,invalid,0.0,60,15.697020385229079
gpt-5.5,1,5,ads_hinged,min,L08,valid,1.0,60,46.93380909944575
gpt-5.5,1,5,ads_hinged,min,M01,invalid,0.0209744964041711,60,49.25061087604536
gpt-5.5,1,5,ads_hinged,min,M01,valid,0.8361506521716531,60,51.1679983794902
gpt-5.5,1,5,ads_hinged,min,M02,invalid,0.059101211306906064,60,105.97841334793482
gpt-5.5,1,5,ads_hinged,min,M02,valid,0.9602282809479248,60,23.975133526979473
gpt-5.5,1,5,ads_hinged,min,M03,invalid,0.44178570877001244,60,32.04118172113481
gpt-5.5,1,5,ads_hinged,min,M03,valid,1.0,60,27.64278626386677
gpt-5.5,1,5,ads_hinged,min,M04,invalid,0.0,60,106.33835595726846
gpt-5.5,1,5,ads_hinged,min,M04,valid,1.0,60,38.063305457536146
gpt-5.5,1,5,ads_hinged,min,M05,invalid,0.6,60,1.0431666357172142
gpt-5.5,1,5,ads_hinged,min,M05,valid,1.0,60,21.427004432033566
gpt-5.5,1,5,ads_hinged,min,M06,invalid,1.0,60,7.850764033359492
gpt-5.5,1,5,ads_hinged,min,M06,valid,1.0,60,63.043125395393886
gpt-5.5,1,5,ads_hinged,min,M07,invalid,0.46523069524012395,60,75.5633093052252
gpt-5.5,1,5,ads_hinged,min,M07,valid,1.0,60,82.32428418255712
gpt-5.5,1,5,ads_hinged,min,M08,invalid,0.2522384828835273,60,32.75306430191278
gpt-5.5,1,5,ads_hinged,min,M08,valid,1.0,60,50.40765591508681
gpt-5.5,1,5,ads_hinged,min,S01,invalid,0.4925315557296364,60,27.174895941010476
gpt-5.5,1,5,ads_hinged,min,S01,valid,1.0,60,0.568437183311688
gpt-5.5,1,5,ads_hinged,min,S02,invalid,0.1755943023606596,60,95.03070894776275
gpt-5.5,1,5,ads_hinged,min,S02,valid,1.0,60,48.37947958000549
gpt-5.5,1,5,ads_hinged,min,S03,invalid,0.0,60,13.557144118479393
gpt-5.5,1,5,ads_hinged,min,S03,valid,1.0,60,38.76168013768836
gpt-5.5,1,5,ads_hinged,min,S04,invalid,0.015676538024442403,60,83.90673364606239
gpt-5.5,1,5,ads_hinged,min,S04,valid,0.0017711053363269247,60,23.347243118745762
gpt-5.5,1,5,ads_hinged,min,S05,invalid,0.9627411882813328,60,18.42237188220466
gpt-5.5,1,5,ads_hinged,min,S05,valid,1.0,60,84.69237489399973
gpt-5.5,1,5,ads_hinged,min,S06,invalid,0.463678108568742,60,9.905363254064882
gpt-5.5,1,5,ads_hinged,min,S06,valid,1.0,60,65.51994711317069
gpt-5.5,1,5,ads_hinged,min,S07,invalid,0.3589399261494168,60,39.689705449975456
gpt-5.5,1,5,ads_hinged,min,S07,valid,0.926244099675115,60,43.41569592799851
gpt-5.5,1,5,ads_hinged,min,S08,invalid,0.0,60,95.25051820950962
gpt-5.5,1,5,ads_hinged,min,S08,valid,0.6576603740579974,60,25.137856847526475
gpt-5.5,1,5,ads_hinged,sum,L01,invalid,0.425,60,15.870807298884715
gpt-5.5,1,5,ads_hinged,sum,L01,valid,1.0,60,44.00477363837894
gpt-5.5,1,5,ads_hinged,sum,L02,invalid,0.0,60,46.99230422876321
gpt-5.5,1,5,ads_hinged,sum,L02,valid,0.8937532528397659,60,33.754920015126686
gpt-5.5,1,5,ads_hinged,sum,L03,invalid,0.0,60,63.93671811386662
gpt-5.5,1,5,ads_hinged,sum,L03,valid,1.0,60,49.147948238209395
gpt-5.5,1,5,ads_hinged,sum,L04,invalid,0.0,60,48.63317328966781
gpt-5.5,1,5,ads_hinged,sum,L04,valid,1.0,60,61.006005465030306
gpt-5.5,1,5,ads_hinged,sum,L07,invalid,0.0,60,23.895320571928135
gpt-5.5,1,5,ads_hinged,sum,L07,valid,0.8823550030525698,60,43.983985831980085
gpt-5.5,1,5,ads_hinged,sum,L08,invalid,0.0,60,15.697020385229079
gpt-5.5,1,5,ads_hinged,sum,L08,valid,1.0,60,46.93380909944575
gpt-5.5,1,5,ads_hinged,sum,M01,invalid,0.0209744964041711,60,49.25061087604536
gpt-5.5,1,5,ads_hinged,sum,M01,valid,0.8361506521716531,60,51.1679983794902
gpt-5.5,1,5,ads_hinged,sum,M02,invalid,0.059101211306906064,60,105.97841334793482
gpt-5.5,1,5,ads_hinged,sum,M02,valid,0.9602282809479248,60,23.975133526979473
gpt-5.5,1,5,ads_hinged,sum,M03,invalid,0.44178570877001244,60,32.04118172113481
gpt-5.5,1,5,ads_hinged,sum,M03,valid,1.0,60,27.64278626386677
gpt-5.5,1,5,ads_hinged,sum,M04,invalid,0.0,60,106.33835595726846
gpt-5.5,1,5,ads_hinged,sum,M04,valid,1.0,60,38.063305457536146
gpt-5.5,1,5,ads_hinged,sum,M05,invalid,0.6,60,1.0431666357172142
gpt-5.5,1,5,ads_hinged,sum,M05,valid,1.0,60,21.427004432033566
gpt-5.5,1,5,ads_hinged,sum,M06,invalid,1.0,60,7.850764033359492
gpt-5.5,1,5,ads_hinged,sum,M06,valid,1.0,60,63.043125395393886
gpt-5.5,1,5,ads_hinged,sum,M07,invalid,0.46523069524012395,60,75.5633093052252
gpt-5.5,1,5,ads_hinged,sum,M07,valid,1.0,60,82.32428418255712
gpt-5.5,1,5,ads_hinged,sum,M08,invalid,0.2522384828835273,60,32.75306430191278
gpt-5.5,1,5,ads_hinged,sum,M08,valid,1.0,60,50.40765591508681
gpt-5.5,1,5,ads_hinged,sum,S01,invalid,0.4925315557296364,60,27.174895941010476
gpt-5.5,1,5,ads_hinged,sum,S01,valid,1.0,60,0.568437183311688
gpt-5.5,1,5,ads_hinged,sum,S02,invalid,0.1755943023606596,60,95.03070894776275
gpt-5.5,1,5,ads_hinged,sum,S02,valid,1.0,60,48.37947958000549
gpt-5.5,1,5,ads_hinged,sum,S03,invalid,0.0,60,13.557144118479393
gpt-5.5,1,5,ads_hinged,sum,S03,valid,1.0,60,38.76168013768836
gpt-5.5,1,5,ads_hinged,sum,S04,invalid,0.015676538024442403,60,83.90673364606239
gpt-5.5,1,5,ads_hinged,sum,S04,valid,0.0017711053363269247,60,23.347243118745762
gpt-5.5,1,5,ads_hinged,sum,S05,invalid,0.9627411882813328,60,18.42237188220466
gpt-5.5,1,5,ads_hinged,sum,S05,valid,1.0,60,84.69237489399973
gpt-5.5,1,5,ads_hinged,sum,S06,invalid,0.463678108568742,60,9.905363254064882
gpt-5.5,1,5,ads_hinged,sum,S06,valid,1.0,60,65.51994711317069
gpt-5.5,1,5,ads_hinged,sum,S07,invalid,0.3589399261494168,60,39.689705449975456
gpt-5.5,1,5,ads_hinged,sum,S07,valid,0.926244099675115,60,43.41569592799851
gpt-5.5,1,5,ads_hinged,sum,S08,invalid,0.0,60,95.25051820950962
gpt-5.5,1,5,ads_hinged,sum,S08,valid,0.6576603740579974,60,25.137856847526475
gpt-5.5,1,5,none,unweighted,L01,invalid,0.2833333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,L01,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,L02,invalid,0.0,60,60.0
gpt-5.5,1,5,none,unweighted,L02,valid,0.8833333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,L03,invalid,0.0,60,60.0
gpt-5.5,1,5,none,unweighted,L03,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,L04,invalid,0.0,60,60.0
gpt-5.5,1,5,none,unweighted,L04,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,L07,invalid,0.05,60,60.0
gpt-5.5,1,5,none,unweighted,L07,valid,0.8833333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,L08,invalid,0.0,60,60.0
gpt-5.5,1,5,none,unweighted,L08,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M01,invalid,0.016666666666666666,60,60.0
gpt-5.5,1,5,none,unweighted,M01,valid,0.8166666666666667,60,60.0
gpt-5.5,1,5,none,unweighted,M02,invalid,0.06666666666666667,60,60.0
gpt-5.5,1,5,none,unweighted,M02,valid,0.9833333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,M03,invalid,0.6,60,60.0
gpt-5.5,1,5,none,unweighted,M03,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M04,invalid,0.0,60,60.0
gpt-5.5,1,5,none,unweighted,M04,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M05,invalid,0.4666666666666667,60,60.0
gpt-5.5,1,5,none,unweighted,M05,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M06,invalid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M06,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M07,invalid,0.4666666666666667,60,60.0
gpt-5.5,1,5,none,unweighted,M07,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,M08,invalid,0.26666666666666666,60,60.0
gpt-5.5,1,5,none,unweighted,M08,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,S01,invalid,0.6166666666666667,60,60.0
gpt-5.5,1,5,none,unweighted,S01,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,S02,invalid,0.18333333333333332,60,60.0
gpt-5.5,1,5,none,unweighted,S02,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,S03,invalid,0.25,60,60.0
gpt-5.5,1,5,none,unweighted,S03,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,S04,invalid,0.016666666666666666,60,60.0
gpt-5.5,1,5,none,unweighted,S04,valid,0.016666666666666666,60,60.0
gpt-5.5,1,5,none,unweighted,S05,invalid,0.9833333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,S05,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,S06,invalid,0.4666666666666667,60,60.0
gpt-5.5,1,5,none,unweighted,S06,valid,1.0,60,60.0
gpt-5.5,1,5,none,unweighted,S07,invalid,0.3333333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,S07,valid,0.9333333333333333,60,60.0
gpt-5.5,1,5,none,unweighted,S08,invalid,0.0,60,60.0
gpt-5.5,1,5,none,unweighted,S08,valid,0.6666666666666666,60,60.0
gpt-5.5,1,5,raw_bt_abs,lead,L01,invalid,0.41613734509741335,60,21.08617055385438
gpt-5.5,1,5,raw_bt_abs,lead,L01,valid,1.0,60,36.841303295345256
gpt-5.5,1,5,raw_bt_abs,lead,L02,invalid,0.0,60,54.1557745717969
gpt-5.5,1,5,raw_bt_abs,lead,L02,valid,0.8965602748442663,60,26.591449672093
gpt-5.5,1,5,raw_bt_abs,lead,L03,invalid,0.0,60,71.1001884569003
gpt-5.5,1,5,raw_bt_abs,lead,L03,valid,1.0,60,41.984477895175715
gpt-5.5,1,5,raw_bt_abs,lead,L04,invalid,0.0,60,55.79664363270149
gpt-5.5,1,5,raw_bt_abs,lead,L04,valid,1.0,60,53.84253512199662
gpt-5.5,1,5,raw_bt_abs,lead,L07,invalid,0.00578555519730725,60,28.48012155684824
gpt-5.5,1,5,raw_bt_abs,lead,L07,valid,0.8821646678587552,60,36.8205154889464
gpt-5.5,1,5,raw_bt_abs,lead,L08,invalid,0.0,60,22.583007494095515
gpt-5.5,1,5,raw_bt_abs,lead,L08,valid,1.0,60,39.770338756412066
gpt-5.5,1,5,raw_bt_abs,lead,M01,invalid,0.02042748739683456,60,56.41408121907904
