raw>=1,raw>=5,raw>=10,2*sigmaDelta,1*sigma0,2*sigma0,delta=0,mean_z,sigma0,n,key,validity,bt,model
1.0,1.0,0.7,0.9,1.0,1.0,1.0,9.42316863140849,1.0399898784932584,20,M01|lower|invalid|0,invalid,-0.5335023362691887,o4-mini
1.0,1.0,0.9,0.85,1.0,1.0,1.0,14.663604247855051,1.0399898784932584,20,M01|lower|invalid|1,invalid,-1.1523979331067382,o4-mini
1.0,0.95,0.5,0.5,1.0,0.95,1.0,8.750085157736454,1.0399898784932584,20,M01|lower|invalid|2,invalid,-0.5159081947404756,o4-mini
1.0,0.75,0.05,1.0,1.0,1.0,1.0,4.855816488633966,1.0399898784932584,20,M01|lower|valid|0,valid,0.5344694223103141,o4-mini
1.0,0.95,0.05,1.0,1.0,1.0,1.0,5.576977353282575,1.0399898784932584,20,M01|lower|valid|1,valid,0.6427763879944125,o4-mini
1.0,0.8,0.0,1.0,1.0,1.0,1.0,4.807739097657392,1.0399898784932584,20,M01|lower|valid|2,valid,0.9146736258340004,o4-mini
0.25,0.2,0.0,0.2,0.2,0.0,0.25,0.3130774349604102,3.5135077688978096,20,M02|raise|invalid|0,invalid,-0.972207492061977,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5135077688978096,19,M02|raise|invalid|1,invalid,-1.985919930926399,o4-mini
0.1,0.1,0.05,0.1,0.1,0.05,0.1,0.21346188747300693,3.5135077688978096,20,M02|raise|invalid|2,invalid,-1.6852543226956271,o4-mini
1.0,1.0,0.75,0.9,1.0,0.8,1.0,2.8034661221454913,3.5135077688978096,20,M02|raise|valid|0,valid,-0.149311759489544,o4-mini
1.0,1.0,0.7,0.8,1.0,0.7,1.0,2.5900042346724836,3.5135077688978096,20,M02|raise|valid|1,valid,0.0032210283550851,o4-mini
1.0,1.0,0.55,0.7,1.0,0.6,1.0,2.3765423471994773,3.5135077688978096,20,M02|raise|valid|2,valid,0.834141102487119,o4-mini
0.8,0.8,0.7,0.35,0.8,0.8,0.8,12.386896024955071,1.356271980175997,20,M03|lower|invalid|0,invalid,-0.5388037604717504,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.313164500997004,1.356271980175997,20,M03|lower|invalid|1,invalid,-0.512594955064459,o4-mini
1.0,0.95,0.75,0.25,1.0,0.95,1.0,10.359279116108258,1.356271980175997,20,M03|lower|invalid|2,invalid,-0.9350426930795072,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.603466170263156,1.356271980175997,20,M03|lower|valid|0,valid,1.1425230834236535,o4-mini
1.0,1.0,0.85,1.0,1.0,1.0,1.0,8.294796445282413,1.356271980175997,20,M03|lower|valid|1,valid,0.2227586747578915,o4-mini
1.0,1.0,0.4,1.0,1.0,1.0,1.0,6.193448012477534,1.356271980175997,20,M03|lower|valid|2,valid,0.5784484465258711,o4-mini
0.05,0.05,0.0,0.0,0.0,0.0,0.05,-0.05145953384644462,9.716372509164215,20,M04|raise|invalid|0,invalid,-1.2915670342314116,o4-mini
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2830274361554454,9.716372509164215,20,M04|raise|invalid|1,invalid,-2.3259998956807757,o4-mini
0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.027083965182339277,9.716372509164215,19,M04|raise|invalid|2,invalid,-1.023091523653556,o4-mini
0.95,0.95,0.75,0.35,0.75,0.1,0.95,1.080650210775337,9.716372509164215,20,M04|raise|valid|0,valid,-0.1515163802134277,o4-mini
0.95,0.95,0.7,0.45,0.7,0.15,0.95,1.1063799776985594,9.716372509164215,20,M04|raise|valid|1,valid,0.3866767764137231,o4-mini
1.0,0.95,0.0,1.0,0.0,0.0,1.0,0.4991574783105128,9.716372509164215,20,M04|raise|valid|2,valid,0.7716382028976769,o4-mini
0.6,0.5,0.45,0.1,0.6,0.5,0.6,7.426960418665163,1.4608937423083848,20,M05|lower|invalid|0,invalid,-1.8192897492582136,o4-mini
1.0,1.0,1.0,0.7368421052631579,1.0,1.0,1.0,23.957936834403757,1.4608937423083848,19,M05|lower|invalid|1,invalid,0.0370787437246786,o4-mini
1.0,0.95,0.7,0.15,1.0,0.95,1.0,13.142639634872918,1.4608937423083848,20,M05|lower|invalid|2,invalid,-0.1715495041697555,o4-mini
1.0,1.0,0.7,1.0,1.0,1.0,1.0,7.084704178173683,1.4608937423083848,20,M05|lower|valid|0,valid,0.5392192854791379,o4-mini
1.0,1.0,0.6,0.95,1.0,1.0,1.0,6.913576057927941,1.4608937423083848,20,M05|lower|valid|1,valid,0.1072985860889655,o4-mini
1.0,0.3,0.0,0.45,1.0,0.6,1.0,2.498470555587821,1.4608937423083848,20,M05|lower|valid|2,valid,0.498579532272063,o4-mini
0.95,0.95,0.95,0.6,0.95,0.95,0.95,3.7968120162975767,6.584471365105534,20,M06|lower|invalid|0,invalid,-0.049358474665239,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.049241474550861,6.584471365105534,20,M06|lower|invalid|1,invalid,-0.3156602732178821,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.553657590318337,6.584471365105534,19,M06|lower|invalid|2,invalid,0.1627385556753256,o4-mini
1.0,1.0,1.0,0.95,1.0,0.95,1.0,3.303226454178892,6.584471365105534,20,M06|lower|valid|0,valid,1.2785313453812357,o4-mini
1.0,1.0,1.0,1.0,1.0,0.85,1.0,2.543864050919377,6.584471365105534,20,M06|lower|valid|1,valid,0.9876727105039572,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.94868449694948,6.584471365105534,20,M06|lower|valid|2,valid,0.8186373316100953,o4-mini
1.0,1.0,0.95,0.6,1.0,1.0,1.0,17.263540426063475,1.410487037944882,20,M07|lower|invalid|0,invalid,-0.1336688565908278,o4-mini
0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.742697225918446,1.410487037944882,20,M07|lower|invalid|1,invalid,-1.3865301431655517,o4-mini
0.8,0.8,0.75,0.2,0.8,0.8,0.8,13.683216846941486,1.410487037944882,20,M07|lower|invalid|2,invalid,-1.3632786960818413,o4-mini
1.0,1.0,0.9,1.0,1.0,1.0,1.0,8.755840832110223,1.410487037944882,20,M07|lower|valid|0,valid,1.0079364125265544,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.371613159540354,1.410487037944882,20,M07|lower|valid|1,valid,1.3908511626568008,o4-mini
1.0,1.0,0.7,1.0,1.0,1.0,1.0,6.947954668395157,1.410487037944882,20,M07|lower|valid|2,valid,0.9763383666625703,o4-mini
1.0,1.0,0.85,0.25,1.0,1.0,1.0,17.744380616923777,1.3018205875255107,20,M08|lower|invalid|0,invalid,-0.752157692527565,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.869393321622143,1.3018205875255107,20,M08|lower|invalid|1,invalid,-0.7243464813168969,o4-mini
0.85,0.85,0.75,0.2,0.85,0.85,0.85,13.365897088072458,1.3018205875255107,20,M08|lower|invalid|2,invalid,-0.5471337696135294,o4-mini
1.0,1.0,0.95,0.95,1.0,1.0,1.0,11.67595607693686,1.3018205875255107,20,M08|lower|valid|0,valid,0.5082803181385547,o4-mini
1.0,1.0,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,10.83502849244833,1.3018205875255107,19,M08|lower|valid|1,valid,0.8401669836972638,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.00064842791649,1.3018205875255107,20,M08|lower|valid|2,valid,0.4818753112081287,o4-mini
0.75,0.75,0.45,0.25,0.45,0.25,0.75,1.2376571827503053,6.261830907633125,20,S01|raise|invalid|0,invalid,-1.038328787256526,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039924425250009846,6.261830907633125,20,S01|raise|invalid|1,invalid,-2.4046019485649306,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04202571078948405,6.261830907633125,19,S01|raise|invalid|2,invalid,-1.6182801257317818,o4-mini
1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7984885050001969,6.261830907633125,20,S01|raise|valid|0,valid,0.2118113048502057,o4-mini
1.0,1.0,0.95,0.95,0.95,0.5,1.0,2.0361456877505018,6.261830907633125,20,S01|raise|valid|1,valid,0.2268283950192573,o4-mini
1.0,1.0,0.15,1.0,0.15,0.0,1.0,0.9182617807502265,6.261830907633125,20,S01|raise|valid|2,valid,0.7314525357851626,o4-mini
0.6,0.5,0.2,0.15,0.25,0.15,0.6,0.9954878260743092,5.072889760907069,20,S02|lower|invalid|0,invalid,-1.555736867189764,o4-mini
0.95,0.95,0.9,0.7,0.9,0.85,0.95,6.071490107542321,5.072889760907069,20,S02|lower|invalid|1,invalid,-1.636377630613103,o4-mini
0.85,0.85,0.8,0.5,0.8,0.75,0.85,6.741719534998292,5.072889760907069,20,S02|lower|invalid|2,invalid,-1.8369537033136156,o4-mini
1.0,1.0,1.0,1.0,1.0,0.95,1.0,3.065313999100101,5.072889760907069,20,S02|lower|valid|0,valid,0.8768752785239002,o4-mini
1.0,1.0,0.95,1.0,1.0,0.25,1.0,2.1289640636836706,5.072889760907069,20,S02|lower|valid|1,valid,0.6923262684510154,o4-mini
1.0,1.0,1.0,1.0,1.0,0.2,1.0,2.109251433464378,5.072889760907069,20,S02|lower|valid|2,valid,0.6761479249465593,o4-mini
0.95,0.95,0.95,0.7,0.7,0.15,0.95,1.5131192221911214,10.243740065343117,20,S03|raise|invalid|0,invalid,-1.345321742589533,o4-mini
0.8,0.8,0.55,0.2,0.3,0.2,0.8,1.0494213960357774,10.243740065343117,20,S03|raise|invalid|1,invalid,-0.0076859563198002,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.243740065343117,20,S03|raise|invalid|2,invalid,-0.7972483783078643,o4-mini
0.95,0.95,0.4,0.4,0.0,0.0,0.95,0.6345338673704701,10.243740065343117,20,S03|raise|valid|0,valid,0.1026738633758944,o4-mini
1.0,1.0,0.4,0.4,0.05,0.0,1.0,0.7077493136055243,10.243740065343117,20,S03|raise|valid|1,valid,0.5061116189994053,o4-mini
1.0,1.0,0.55,0.55,0.0,0.0,1.0,0.7565596110955605,10.243740065343117,20,S03|raise|valid|2,valid,0.5676872517339233,o4-mini
0.15,0.15,0.15,0.1,0.15,0.15,0.15,1.2752143073302646,1.7252002172135505,20,S04|lower|invalid|0,invalid,-1.4983086132699663,o4-mini
0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.1588215160178885,1.7252002172135505,20,S04|lower|invalid|1,invalid,-1.5593759632808255,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7252002172135505,20,S04|lower|invalid|2,invalid,-1.4347582728931525,o4-mini
1.0,0.1,0.0,1.0,1.0,0.15,1.0,1.4491071674207552,1.7252002172135505,20,S04|lower|valid|0,valid,0.3994766913246007,o4-mini
1.0,0.15,0.0,0.3,0.95,0.15,1.0,1.5360535974660006,1.7252002172135505,20,S04|lower|valid|1,valid,-0.0780407455077621,o4-mini
1.0,0.05,0.0,1.0,1.0,0.1,1.0,1.5650357408144155,1.7252002172135505,20,S04|lower|valid|2,valid,0.9652701298011278,o4-mini
0.2,0.2,0.15,0.05,0.15,0.1,0.2,0.5734510910671927,5.23148363780597,20,S05|raise|invalid|0,invalid,-1.8773464025608495,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23148363780597,20,S05|raise|invalid|1,invalid,-1.5059011383245169,o4-mini
0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.019115036368906425,5.23148363780597,20,S05|raise|invalid|2,invalid,-1.441286498317794,o4-mini
1.0,1.0,0.95,0.95,0.95,0.4,1.0,2.293804364268771,5.23148363780597,20,S05|raise|valid|0,valid,0.4917634562914478,o4-mini
1.0,1.0,0.5,0.5,0.5,0.15,1.0,1.5769905004347802,5.23148363780597,20,S05|raise|valid|1,valid,0.2643511804799749,o4-mini
1.0,1.0,0.7,0.7,0.7,0.1,1.0,1.720353273201578,5.23148363780597,20,S05|raise|valid|2,valid,-0.0384749563133782,o4-mini
0.8,0.75,0.75,0.3,0.8,0.75,0.8,5.777715472927486,2.319255778999171,20,S06|lower|invalid|0,invalid,-1.5470782363165232,o4-mini
1.0,1.0,0.95,1.0,1.0,1.0,1.0,5.411218595913429,2.319255778999171,20,S06|lower|invalid|1,invalid,-0.2992819367345536,o4-mini
0.8,0.8,0.8,0.25,0.8,0.8,0.8,10.046326158150032,2.319255778999171,20,S06|lower|invalid|2,invalid,-0.2548778063858213,o4-mini
1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.225493405573832,2.319255778999171,20,S06|lower|valid|0,valid,0.749772124428369,o4-mini
1.0,1.0,0.9,0.95,1.0,1.0,1.0,5.389659956089072,2.319255778999171,20,S06|lower|valid|1,valid,0.9887821887935448,o4-mini
1.0,1.0,0.55,1.0,1.0,1.0,1.0,3.815879248911063,2.319255778999171,20,S06|lower|valid|2,valid,0.9402594609197604,o4-mini
0.55,0.45,0.1,0.1,0.45,0.1,0.55,0.856215523586819,3.7957732725812403,20,S07|raise|invalid|0,invalid,-1.448003246326898,o4-mini
0.5789473684210527,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.2631578947368421,0.5789473684210527,1.8025589970248823,3.7957732725812403,19,S07|raise|invalid|1,invalid,-0.7554783100556237,o4-mini
0.8,0.8,0.3,0.3,0.8,0.3,0.8,1.5148428494228336,3.7957732725812403,20,S07|raise|invalid|2,invalid,-0.8317021695392095,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5565875595144796,3.7957732725812403,20,S07|raise|valid|0,valid,0.2473392400717466,o4-mini
1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.5807055820064353,3.7957732725812403,20,S07|raise|valid|1,valid,0.6811497629663481,o4-mini
1.0,1.0,0.6,0.6,1.0,0.6,1.0,2.1734701752588483,3.7957732725812403,20,S07|raise|valid|2,valid,0.4503117533155452,o4-mini
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750939799154199,20,S08|lower|invalid|0,invalid,-2.2877656045276806,o4-mini
0.15,0.15,0.1,0.05,0.15,0.15,0.15,4.4566641863733825,0.8750939799154199,20,S08|lower|invalid|1,invalid,-1.869406665964258,o4-mini
0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,4.285254025359022,0.8750939799154199,16,S08|lower|invalid|2,invalid,-1.3818860956986492,o4-mini
1.0,0.25,0.0,0.35,1.0,1.0,1.0,3.256793059272856,0.8750939799154199,20,S08|lower|valid|0,valid,0.4844827452046152,o4-mini
1.0,1.0,0.95,1.0,1.0,1.0,1.0,14.11276992351571,0.8750939799154199,20,S08|lower|valid|1,valid,0.3108930531243963,o4-mini
1.0,0.85,0.05,1.0,1.0,1.0,1.0,5.77080875415015,0.8750939799154199,20,S08|lower|valid|2,valid,0.2769332189758467,o4-mini
1.0,0.85,0.0,1.0,1.0,1.0,1.0,6.527684632905213,0.8885233166386366,20,L01|lower|invalid|0,invalid,-0.452622800761353,gpt-5.5
0.15,0.0,0.0,0.15,0.15,0.15,0.15,0.3376388603226834,0.8885233166386366,20,L01|lower|invalid|1,invalid,-0.5161613548560127,gpt-5.5
0.95,0.0,0.0,0.45,0.95,0.9,0.95,3.038749742904151,0.8885233166386366,20,L01|lower|invalid|2,invalid,0.0219858179806936,gpt-5.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.315508640324806,0.8885233166386366,20,L01|lower|valid|0,valid,0.9109174147245832,gpt-5.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.7527772064536675,0.8885233166386366,20,L01|lower|valid|1,valid,0.6385571470415725,gpt-5.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.640230919679439,0.8885233166386366,20,L01|lower|valid|2,valid,0.5649508706841176,gpt-5.5
0.45,0.0,0.0,0.1,0.1,0.0,0.45,0.3626491462725109,3.998354924873875,20,L02|raise|invalid|0,invalid,-0.5105778198463006,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2375977165233692,3.998354924873875,20,L02|raise|invalid|1,invalid,-0.8210403242955426,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.998354924873875,20,L02|raise|invalid|2,invalid,-1.0657080799987595,gpt-5.5
1.0,1.0,0.9,1.0,1.0,0.95,1.0,3.30135774537734,3.998354924873875,20,L02|raise|valid|0,valid,0.2107159124426811,gpt-5.5
1.0,0.65,0.0,0.9,0.9,0.05,1.0,1.3880708702154727,3.998354924873875,20,L02|raise|valid|1,valid,0.3929446065105468,gpt-5.5
1.0,1.0,0.0,1.0,1.0,0.1,1.0,1.6631840156635842,3.998354924873875,20,L02|raise|valid|2,valid,0.5436832705835564,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894228312566043,20,L03|lower|invalid|0,invalid,-1.773831523397765,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894228312566043,20,L03|lower|invalid|1,invalid,-0.787184007819113,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894228312566043,20,L03|lower|invalid|2,invalid,-1.980641407206789,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.810243449126684,1.0894228312566043,20,L03|lower|valid|0,valid,1.1649873681569265,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.529570345294937,1.0894228312566043,20,L03|lower|valid|1,valid,0.6480076708096758,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0132448285192,1.0894228312566043,20,L03|lower|valid|2,valid,0.803208553139434,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3478194002726767,20,L04|raise|invalid|0,invalid,-1.447250929388184,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3478194002726767,20,L04|raise|invalid|1,invalid,-0.7185725527083853,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3478194002726767,20,L04|raise|invalid|2,invalid,-1.352687076218304,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6590982174851647,3.3478194002726767,20,L04|raise|valid|0,valid,0.8211860748683708,gpt-5.5
1.0,1.0,0.05,1.0,1.0,0.65,1.0,2.0759781723691337,3.3478194002726767,20,L04|raise|valid|1,valid,1.0604617433750498,gpt-5.5
1.0,1.0,0.95,1.0,1.0,1.0,1.0,3.7935140703723733,3.3478194002726767,20,L04|raise|valid|2,valid,0.5712032693497314,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6569466853317848,20,L07|lower|invalid|0,invalid,-1.535117426148567,gpt-5.5
1.0,0.15,0.0,1.0,1.0,1.0,1.0,5.479896741060279,0.6569466853317848,20,L07|lower|invalid|1,invalid,-0.0549244384310552,gpt-5.5
0.2,0.0,0.0,0.05,0.2,0.05,0.2,0.4566580617550232,0.6569466853317848,20,L07|lower|invalid|2,invalid,-1.3141572009803015,gpt-5.5
1.0,0.65,0.0,1.0,1.0,1.0,1.0,7.078199957202861,0.6569466853317848,20,L07|lower|valid|0,valid,0.1171958414737508,gpt-5.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.818148327732999,0.6569466853317848,20,L07|lower|valid|1,valid,0.6198225246074065,gpt-5.5
1.0,1.0,0.05,1.0,1.0,1.0,1.0,11.644780574753092,0.6569466853317848,20,L07|lower|valid|2,valid,0.6013807252325069,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2501461940809184,20,L08|raise|invalid|0,invalid,-0.0431676956068433,gpt-5.5
0.75,0.0,0.0,0.6,0.6,0.0,0.75,0.9110519153789166,2.2501461940809184,20,L08|raise|invalid|1,invalid,-0.1124540915297135,gpt-5.5
0.15,0.0,0.0,0.15,0.05,0.0,0.15,0.1555454489671321,2.2501461940809184,20,L08|raise|invalid|2,invalid,-0.9042421916453488,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.68851927651226,2.2501461940809184,20,L08|raise|valid|0,valid,0.2596045363013545,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.35514262922854,2.2501461940809184,20,L08|raise|valid|1,valid,0.6550092899527733,gpt-5.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.377233465801256,2.2501461940809184,20,L08|raise|valid|2,valid,0.6784983579150567,gpt-5.5
0.25,0.0,0.0,0.15,0.25,0.25,0.25,0.8528445051707839,0.8207826816681236,20,M01|lower|invalid|0,invalid,-0.5335023362691887,gpt-5.5
0.45,0.05,0.0,0.2,0.45,0.45,0.45,1.7056890103415678,0.8207826816681236,20,M01|lower|invalid|1,invalid,-1.1523979331067382,gpt-5.5
0.75,0.0,0.0,0.65,0.75,0.65,0.75,1.766606474996624,0.8207826816681236,20,M01|lower|invalid|2,invalid,-0.5159081947404756,gpt-5.5
1.0,0.45,0.0,1.0,1.0,1.0,1.0,5.604406748265151,0.8207826816681236,20,M01|lower|valid|0,valid,0.5344694223103141,gpt-5.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.310095758606718,0.8207826816681236,20,M01|lower|valid|1,valid,0.6427763879944125,gpt-5.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.284775193087615,0.8207826816681236,20,M01|lower|valid|2,valid,0.9146736258340004,gpt-5.5
0.05,0.0,0.0,0.05,0.05,0.0,0.05,0.08122328620674138,1.2311740225021848,20,M02|raise|invalid|0,invalid,-0.972207492061977,gpt-5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2311740225021848,20,M02|raise|invalid|1,invalid,-1.985919930926399,gpt-5.5
0.7,0.2,0.0,0.2,0.7,0.65,0.7,2.193028727582017,1.2311740225021848,20,M02|raise|invalid|2,invalid,-1.6852543226956271,gpt-5.5
